evidence_group,objective,selected_method,selected_mode,metric,metric_value,secondary_metric,secondary_value,evidence,recommendation
ishu_to_ms_transfer,threshold_accuracy,Frozen CLIP ViT-B/32,default_score,accuracy,0.6363333333333333,predicted_fake_rate,0.163,reports/assets/score_fusion_clip_calibration_summary.csv,Default 0.5 threshold decisions on Ishu -> MS COCOAI.
ishu_to_ms_transfer,ranking_auc,Frozen CLIP ViT-B/32,default_score,auc,0.8641186666666667,predicted_fake_rate,0.163,reports/assets/score_fusion_clip_calibration_summary.csv,Cross-domain ranking independent of the default threshold.
ishu_to_ms_transfer,probability_brier,SCP-Fusion + CLIP,default_score,brier,0.3111858056267885,predicted_fake_rate,0.1343333333333333,reports/assets/score_fusion_clip_calibration_summary.csv,Squared probability error; lower is better.
ishu_to_ms_transfer,reliability_ece,combined_v4 select-k60,default_score,ece,0.2662804490555417,predicted_fake_rate,0.1813333333333333,reports/assets/combined_v4_full_transfer_mean_summary.csv,Expected calibration error; lower is better.
source_holdout_calibration,source_holdout_accuracy,branch_dropout,temperature_balanced,mean_calibrated_accuracy,0.7445714285714284,mean_calibrated_real_fpr,0.0506666666666666,reports/assets/score_fusion_source_holdout_calibration_summary.csv,Leave-one-source-out calibrated decision accuracy.
source_holdout_calibration,source_holdout_brier,source_calibrated,temperature_balanced,mean_calibrated_brier_score,0.1977203530150707,mean_calibrated_real_fpr,0.0746666666666666,reports/assets/score_fusion_source_holdout_calibration_summary.csv,Leave-one-source-out calibrated Brier score.
source_holdout_calibration,source_holdout_ece,source_calibrated,temperature_balanced,mean_calibrated_ece,0.1268144202593348,mean_calibrated_real_fpr,0.0746666666666666,reports/assets/score_fusion_source_holdout_calibration_summary.csv,Leave-one-source-out expected calibration error.
source_holdout_calibration,source_holdout_fake_detection,source_calibrated,temperature_balanced,mean_calibrated_fake_detection,0.282,mean_calibrated_real_fpr,0.0746666666666666,reports/assets/score_fusion_source_holdout_calibration_summary.csv,Generated-image recall after source-heldout calibration.
tiled_dinov2_transform_stress,tiled_dino_accuracy,tiled DINOv2 reverse fusion,tile_max,best_accuracy_delta,0.01388888888888885,mode_counts,tile_max=4,reports/assets/tiled_dinov2_calibration_tradeoff_choices.csv,Use the majority mode for this objective; report mixed modes explicitly when counts are split.
tiled_dinov2_transform_stress,tiled_dino_auc,tiled DINOv2 reverse fusion,tile_max,best_auc_delta,0.014701354679802926,mode_counts,tile_max=4,reports/assets/tiled_dinov2_calibration_tradeoff_choices.csv,Use the majority mode for this objective; report mixed modes explicitly when counts are split.
tiled_dinov2_transform_stress,tiled_dino_brier,tiled DINOv2 reverse fusion,tile_mean,best_brier_delta,-0.005817767475903225,mode_counts,tile_mean=4,reports/assets/tiled_dinov2_calibration_tradeoff_choices.csv,Use the majority mode for this objective; report mixed modes explicitly when counts are split.
tiled_dinov2_transform_stress,tiled_dino_ece,tiled DINOv2 reverse fusion,tile_mean,best_ece_delta,-0.005243985535808768,mode_counts,"global=1, tile_mean=3",reports/assets/tiled_dinov2_calibration_tradeoff_choices.csv,Use the majority mode for this objective; report mixed modes explicitly when counts are split.
