phase,phase_label,seed,run,feature_set,classifier,select_k,method,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,threshold,n_train,n_test,n_target,support_real,support_fake,fake_call_rate,real_false_positive_rate,fake_miss_rate,metrics_path
ishu_holdout,Ishu holdout split,7,combined_v3_logreg,combined_v3,logistic_regression,0,feature_combined_v3_logistic_regression,0.8157894736842105,0.8937807881773399,0.13236230986504524,0.08069714760048682,0.8070175438596491,0.8214285714285714,0.8141592920353983,0.5,453.0,114.0,,58,56,0.5,0.1896551724137931,0.17857142857142858,runs/combined_v4_full_transfer/seed7/combined_v3_logreg/metrics.json
ishu_holdout,Ishu holdout split,7,combined_v4_logreg,combined_v4,logistic_regression,0,feature_combined_v4_logistic_regression,0.8070175438596491,0.8990147783251232,0.13398607249487904,0.07516552638026357,0.8148148148148148,0.7857142857142857,0.8,0.5,453.0,114.0,,58,56,0.47368421052631576,0.1724137931034483,0.21428571428571427,runs/combined_v4_full_transfer/seed7/combined_v4_logreg/metrics.json
ishu_holdout,Ishu holdout split,7,combined_v4_logreg_selectk60,combined_v4,logistic_regression,60,feature_combined_v4_logistic_regression_selectk60,0.7982456140350878,0.8866995073891626,0.137271314848502,0.07398987658963738,0.8,0.7857142857142857,0.7927927927927928,0.5,453.0,114.0,,58,56,0.4824561403508772,0.1896551724137931,0.21428571428571427,runs/combined_v4_full_transfer/seed7/combined_v4_logreg_selectk60/metrics.json
ishu_holdout,Ishu holdout split,17,combined_v3_logreg,combined_v3,logistic_regression,0,feature_combined_v3_logistic_regression,0.8245614035087719,0.9088669950738917,0.12289952687621698,0.047240014639183384,0.8,0.8571428571428571,0.8275862068965517,0.5,453.0,114.0,,58,56,0.5263157894736842,0.20689655172413793,0.14285714285714285,runs/combined_v4_full_transfer/seed17/combined_v3_logreg/metrics.json
ishu_holdout,Ishu holdout split,17,combined_v4_logreg,combined_v4,logistic_regression,0,feature_combined_v4_logistic_regression,0.7982456140350878,0.9088669950738917,0.12475248029456407,0.07625359463502591,0.7796610169491526,0.8214285714285714,0.8,0.5,453.0,114.0,,58,56,0.5175438596491229,0.22413793103448276,0.17857142857142858,runs/combined_v4_full_transfer/seed17/combined_v4_logreg/metrics.json
ishu_holdout,Ishu holdout split,17,combined_v4_logreg_selectk60,combined_v4,logistic_regression,60,feature_combined_v4_logistic_regression_selectk60,0.7894736842105263,0.8783866995073892,0.13993967484619962,0.07826739805007511,0.7580645161290323,0.8392857142857143,0.7966101694915254,0.5,453.0,114.0,,58,56,0.543859649122807,0.25862068965517243,0.16071428571428573,runs/combined_v4_full_transfer/seed17/combined_v4_logreg_selectk60/metrics.json
ishu_holdout,Ishu holdout split,29,combined_v3_logreg,combined_v3,logistic_regression,0,feature_combined_v3_logistic_regression,0.8333333333333334,0.8799261083743842,0.13604171503257892,0.10112508115206079,0.8135593220338984,0.8571428571428571,0.8347826086956521,0.5,453.0,114.0,,58,56,0.5175438596491229,0.1896551724137931,0.14285714285714285,runs/combined_v4_full_transfer/seed29/combined_v3_logreg/metrics.json
ishu_holdout,Ishu holdout split,29,combined_v4_logreg,combined_v4,logistic_regression,0,feature_combined_v4_logistic_regression,0.8333333333333334,0.8830049261083744,0.13332589285705657,0.10518538942332788,0.8032786885245902,0.875,0.8376068376068376,0.5,453.0,114.0,,58,56,0.5350877192982456,0.20689655172413793,0.125,runs/combined_v4_full_transfer/seed29/combined_v4_logreg/metrics.json
ishu_holdout,Ishu holdout split,29,combined_v4_logreg_selectk60,combined_v4,logistic_regression,60,feature_combined_v4_logistic_regression_selectk60,0.7982456140350878,0.8669950738916257,0.1487394052348896,0.07444627834503766,0.7704918032786885,0.8392857142857143,0.8034188034188035,0.5,453.0,114.0,,58,56,0.5350877192982456,0.2413793103448276,0.16071428571428573,runs/combined_v4_full_transfer/seed29/combined_v4_logreg_selectk60/metrics.json
ishu_to_ms_cocoai,Ishu -> source-balanced MS COCOAI,7,combined_v3_logreg,combined_v3,logistic_regression,0,cross_feature_combined_v3,0.543,0.575032,0.34346575099187443,0.29691836557038803,0.6201117318435754,0.222,0.3269513991163476,0.5,,,1000.0,500,500,0.179,0.136,0.778,runs/combined_v4_full_transfer_to_ms/seed7/combined_v3_logreg/metrics.json
