seed,run,method,feature_set,classifier,select_k,selection_score_func,n_train,n_samples,metrics_path,accuracy,precision,recall,f1,roc_auc,brier_score,expected_calibration_error
17,combined_v3_hgb,feature_combined_v3_hist_gradient_boosting,combined_v3,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed17\combined_v3_hgb\metrics.json,0.6333333333333333,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7255555555555556,0.24529544619802401,0.19614664182928931
17,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed17\combined_v3_logreg\metrics.json,0.7666666666666667,0.7352941176470589,0.8333333333333334,0.78125,0.8288888888888889,0.18010412453971458,0.14004864725066
17,combined_v4_hgb,feature_combined_v4_hist_gradient_boosting,combined_v4,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_hgb\metrics.json,0.5833333333333334,0.5675675675675675,0.7,0.6268656716417911,0.6666666666666666,0.27671487932351013,0.2609016729832755
17,combined_v4_hgb_selectk60,feature_combined_v4_hist_gradient_boosting_selectk60,combined_v4,hist_gradient_boosting,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_hgb_selectk60\metrics.json,0.6333333333333333,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.71,0.2504947260475988,0.24297128587088707
17,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_logreg\metrics.json,0.7666666666666667,0.7352941176470589,0.8333333333333334,0.78125,0.8266666666666667,0.17586058905609006,0.13535415607366302
17,combined_v4_logreg_selectk40,feature_combined_v4_logistic_regression_selectk40,combined_v4,logistic_regression,40,f_classif,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_logreg_selectk40\metrics.json,0.7166666666666667,0.696969696969697,0.7666666666666667,0.7301587301587301,0.758888888888889,0.2059460972069956,0.1630899187948671
17,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_logreg_selectk60\metrics.json,0.75,0.7419354838709677,0.7666666666666667,0.7540983606557377,0.8266666666666667,0.1779164472239053,0.14080539128068875
17,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,120,60,runs\combined_v4_selectk_probe\seed17\combined_v4_logreg_selectk80\metrics.json,0.7666666666666667,0.75,0.8,0.7741935483870968,0.8177777777777777,0.18424770861568765,0.18692824387083723
29,combined_v3_hgb,feature_combined_v3_hist_gradient_boosting,combined_v3,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed29\combined_v3_hgb\metrics.json,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8400000000000001,0.17375940296947875,0.15322776858262133
29,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed29\combined_v3_logreg\metrics.json,0.7166666666666667,0.7096774193548387,0.7333333333333333,0.7213114754098361,0.7511111111111111,0.21760077525086718,0.14233155835827346
29,combined_v4_hgb,feature_combined_v4_hist_gradient_boosting,combined_v4,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_hgb\metrics.json,0.75,0.7419354838709677,0.7666666666666667,0.7540983606557377,0.8277777777777778,0.18162674363091405,0.15171225376051678
29,combined_v4_hgb_selectk60,feature_combined_v4_hist_gradient_boosting_selectk60,combined_v4,hist_gradient_boosting,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_hgb_selectk60\metrics.json,0.7833333333333333,0.7741935483870968,0.8,0.7868852459016393,0.8766666666666667,0.14913599779872397,0.13272617604892267
29,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_logreg\metrics.json,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7822222222222222,0.2043514620372101,0.1476463115095006
29,combined_v4_logreg_selectk40,feature_combined_v4_logistic_regression_selectk40,combined_v4,logistic_regression,40,f_classif,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_logreg_selectk40\metrics.json,0.7666666666666667,0.75,0.8,0.7741935483870968,0.8366666666666667,0.1641924084277449,0.08908388286145054
29,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_logreg_selectk60\metrics.json,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.83,0.16754748545241124,0.13955152693379202
29,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,120,60,runs\combined_v4_selectk_probe\seed29\combined_v4_logreg_selectk80\metrics.json,0.75,0.7419354838709677,0.7666666666666667,0.7540983606557377,0.78,0.19738346266335932,0.15147286422701048
7,combined_v3_hgb,feature_combined_v3_hist_gradient_boosting,combined_v3,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed7\combined_v3_hgb\metrics.json,0.6166666666666667,0.6060606060606061,0.6666666666666666,0.6349206349206349,0.6511111111111111,0.29571770865547925,0.28217310849868893
7,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed7\combined_v3_logreg\metrics.json,0.7,0.6875,0.7333333333333333,0.7096774193548387,0.83,0.16519068895804537,0.15279449115356933
7,combined_v4_hgb,feature_combined_v4_hist_gradient_boosting,combined_v4,hist_gradient_boosting,0,,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_hgb\metrics.json,0.6166666666666667,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.6477777777777778,0.2860373626082645,0.2293673205438982
7,combined_v4_hgb_selectk60,feature_combined_v4_hist_gradient_boosting_selectk60,combined_v4,hist_gradient_boosting,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_hgb_selectk60\metrics.json,0.6333333333333333,0.6428571428571429,0.6,0.6206896551724138,0.68,0.2869777367964892,0.2648076945585265
7,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_logreg\metrics.json,0.65,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7933333333333333,0.18420071327945892,0.18306439777619138
7,combined_v4_logreg_selectk40,feature_combined_v4_logistic_regression_selectk40,combined_v4,logistic_regression,40,f_classif,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_logreg_selectk40\metrics.json,0.6833333333333333,0.6666666666666666,0.7333333333333333,0.6984126984126984,0.7255555555555555,0.2177870840354571,0.12196684047618571
7,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_logreg_selectk60\metrics.json,0.7333333333333333,0.71875,0.7666666666666667,0.7419354838709677,0.8088888888888889,0.17780111618374042,0.15405821076371162
7,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,120,60,runs\combined_v4_selectk_probe\seed7\combined_v4_logreg_selectk80\metrics.json,0.7666666666666667,0.75,0.8,0.7741935483870968,0.8144444444444444,0.18011076541401666,0.12945310437741378
