finding,method,setting,metrics,poster_use
ishu_same_combined_v3,combined_v3,"Ishu same-domain, 3 seeds",accuracy 0.8246 / AUC 0.8942,Same-domain comparator for the physics-guided result.
ishu_same_resnet18,ResNet-18,"Ishu same-domain, 3 seeds",accuracy 0.8246 / AUC 0.8927,Same-domain comparator for the physics-guided result.
ishu_same_physics_guided,Physics-guided ResNet-18 + combined_v3,"Ishu same-domain, 3 seeds",accuracy 0.8450 / AUC 0.9177,Physics-guided fusion is the first Ishu same-domain model to beat both standalone branches.
ishu_to_ms_clip_standalone,Frozen CLIP ViT-B/32,"Ishu -> source-balanced MS COCOAI, foundation branches",accuracy 0.6363 / AUC 0.8641 / Brier 0.3146 / ECE 0.3326 / fake-call rate 0.1630,Current strongest standalone transfer-ranking branch; fusion still trails this ranker.
ishu_to_ms_scp_fusion_all_foundation,SCP-Fusion + CLIP + DINOv2,"Ishu -> source-balanced MS COCOAI, foundation branches",accuracy 0.6163 / AUC 0.7995 / Brier 0.3118 / ECE 0.3263 / fake-call rate 0.1323,Foundation-encoder score-fusion comparator for transfer ranking and calibration.
ishu_to_ms_triage5_clip_standalone,Frozen CLIP ViT-B/32,"Ishu -> MS COCOAI source-heldout triage, 5% calibration budget",coverage 0.4747 / decided accuracy 0.9261,High-confidence decided-case operating point under generator shift.
ms_to_ishu_branch_dropout_auc,Reverse all-branch dropout fusion,MS COCOAI -> Ishu reverse transfer,accuracy 0.6520 / AUC 0.8406 / Brier 0.3057 / ECE 0.3275 / fake-call rate 0.8158,"Best reverse fusion AUC frontier so far, but still threshold-biased and poorly calibrated."
ms_to_ishu_tuned_fusion_constraint_sweep_best,Reverse tuned-fusion constraint sweep best,MS COCOAI -> Ishu tuned-fusion source fake-rate constraint sweep,accuracy 0.7632 / AUC 0.8361 / Brier 0.2851 / ECE 0.3042 / fake-call rate 0.5175,Best reverse SCP-Fusion operating point so far; stricter source fake-rate cap reduces target fake-call bias while improving accuracy.
ms_to_ishu_tuned_fusion_jpeg70,Reverse tuned-fusion JPEG70 robustness,MS COCOAI -> Ishu tuned-fusion jpeg70 robustness,accuracy 0.7661 / AUC 0.8485 / Brier 0.2599 / ECE 0.2635 / fake-call rate 0.4678,Bounded robustness check for the best reverse tuned-fusion cap; source-selected policy survives JPEG recompression.
ms_to_ishu_tuned_fusion_jpeg50,Reverse tuned-fusion target-transform robustness (jpeg50),MS COCOAI -> Ishu tuned-fusion jpeg50 robustness,accuracy 0.7515 / AUC 0.8309 / Brier 0.2486 / ECE 0.2517 / fake-call rate 0.4240,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_jpeg30,Reverse tuned-fusion target-transform robustness (jpeg30),MS COCOAI -> Ishu tuned-fusion jpeg30 robustness,accuracy 0.7076 / AUC 0.8167 / Brier 0.2332 / ECE 0.2215 / fake-call rate 0.3450,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_blur1,Reverse tuned-fusion target-transform robustness (blur1),MS COCOAI -> Ishu tuned-fusion blur1 robustness,accuracy 0.7105 / AUC 0.7872 / Brier 0.3280 / ECE 0.3450 / fake-call rate 0.5585,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_resize_half,Reverse tuned-fusion target-transform robustness (resize_half),MS COCOAI -> Ishu tuned-fusion resize_half robustness,accuracy 0.7164 / AUC 0.7816 / Brier 0.3249 / ECE 0.3410 / fake-call rate 0.5526,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_crop85,Reverse tuned-fusion target-transform robustness (crop85),MS COCOAI -> Ishu tuned-fusion crop85 robustness,accuracy 0.7251 / AUC 0.8227 / Brier 0.2952 / ECE 0.3187 / fake-call rate 0.5205,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_noise3,Reverse tuned-fusion target-transform robustness (noise3),MS COCOAI -> Ishu tuned-fusion noise3 robustness,accuracy 0.7690 / AUC 0.8704 / Brier 0.2281 / ECE 0.2412 / fake-call rate 0.4708,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_screenshot,Reverse tuned-fusion target-transform robustness (screenshot),MS COCOAI -> Ishu tuned-fusion screenshot robustness,accuracy 0.7310 / AUC 0.7965 / Brier 0.3188 / ECE 0.3392 / fake-call rate 0.5263,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_social_square,Reverse tuned-fusion target-transform robustness (social_square),MS COCOAI -> Ishu tuned-fusion social_square robustness,accuracy 0.7778 / AUC 0.8474 / Brier 0.2782 / ECE 0.3010 / fake-call rate 0.5088,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
ms_to_ishu_tuned_fusion_social_720p,Reverse tuned-fusion target-transform robustness (social_720p),MS COCOAI -> Ishu tuned-fusion social_720p robustness,accuracy 0.7602 / AUC 0.8506 / Brier 0.2583 / ECE 0.2657 / fake-call rate 0.4678,Target-transform robustness stress test for the best reverse tuned-fusion cap; source-selected policy is evaluated without target tuning.
