policy,seed,source_fake_rate_cap,fake_detection_weight,real_clearance_weight,real_fpr_penalty,fake_miss_penalty,threshold,threshold_source_utility,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate,threshold_source_predicted_positive_rate
fixed_0p5,7,,1.0,1.0,1.0,1.0,0.5,,1.7549261083743841,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,0.5800000000000001,0.645,0.9503105590062112,0.306,0.4629349470499244,0.8073999999999999,0.275845406335947,0.28789899230913407,0.161,
fixed_0p5,17,,1.0,1.0,1.0,1.0,0.5,,1.9298029556650245,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,0.3919999999999999,0.598,0.9016393442622951,0.22,0.3536977491961415,0.781944,0.3362593471183187,0.3469317043002551,0.122,
fixed_0p5,29,,1.0,1.0,1.0,1.0,0.5,,1.6490147783251232,0.9122807017543859,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9769088669950738,0.0582957932725151,0.0510648776852596,0.49122807017543857,0.42399999999999993,0.606,0.9649122807017544,0.22,0.3583061889250814,0.80914,0.32318367218025684,0.34405954804896594,0.114,
uncapped_fd0p5_rc1_rfp0p5_fmp1,7,,0.5,1.0,0.5,1.0,0.5153604434505001,1.316194581280788,1.316194581280788,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,0.42300000000000004,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp0p5_fmp1p5,7,,0.5,1.0,0.5,1.5,0.5153604434505001,1.2894088669950738,1.2894088669950738,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,0.07200000000000006,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp0p5_fmp2,7,,0.5,1.0,0.5,2.0,0.5153604434505001,1.2626231527093594,1.2626231527093594,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,-0.2789999999999999,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp0p5_fmp3,7,,0.5,1.0,0.5,3.0,0.21964810132554,1.2198275862068968,1.2198275862068968,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-0.4820000000000002,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp0p5_fmp4,7,,0.5,1.0,0.5,4.0,0.21964810132554,1.184113300492611,1.184113300492611,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-1.0260000000000002,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp0p5_fmp6,7,,0.5,1.0,0.5,6.0,0.21964810132554,1.1126847290640396,1.1126847290640396,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-2.1140000000000003,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp0p5_fmp8,7,,0.5,1.0,0.5,8.0,0.21964810132554,1.0412561576354682,1.0412561576354682,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-3.2020000000000004,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp1_fmp1,7,,0.5,1.0,1.0,1.0,0.747647382564353,1.2971059113300494,1.2971059113300494,0.9385964912280702,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.4649122807017544,0.28,0.595,0.9523809523809523,0.2,0.3305785123966942,0.8073999999999999,0.275845406335947,0.28789899230913407,0.105,0.4649122807017544
uncapped_fd0p5_rc1_rfp1_fmp1p5,7,,0.5,1.0,1.0,1.5,0.5153604434505001,1.2549261083743843,1.2549261083743843,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,0.06400000000000006,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp1_fmp2,7,,0.5,1.0,1.0,2.0,0.5153604434505001,1.22814039408867,1.22814039408867,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,-0.2869999999999999,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp1_fmp3,7,,0.5,1.0,1.0,3.0,0.5153604434505001,1.1745689655172413,1.1745689655172413,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,-0.9889999999999999,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp1_fmp4,7,,0.5,1.0,1.0,4.0,0.21964810132554,1.1323891625615765,1.1323891625615765,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-1.0520000000000003,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp1_fmp6,7,,0.5,1.0,1.0,6.0,0.21964810132554,1.0609605911330051,1.0609605911330051,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-2.1400000000000006,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp1_fmp8,7,,0.5,1.0,1.0,8.0,0.21964810132554,0.9895320197044337,0.9895320197044337,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-3.2280000000000006,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
uncapped_fd0p5_rc1_rfp2_fmp1,7,,0.5,1.0,2.0,1.0,0.747647382564353,1.2626231527093599,1.2626231527093599,0.9385964912280702,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.4649122807017544,0.27,0.595,0.9523809523809523,0.2,0.3305785123966942,0.8073999999999999,0.275845406335947,0.28789899230913407,0.105,0.4649122807017544
uncapped_fd0p5_rc1_rfp2_fmp1p5,7,,0.5,1.0,2.0,1.5,0.747647382564353,1.2179802955665027,1.2179802955665027,0.9385964912280702,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.4649122807017544,-0.13000000000000012,0.595,0.9523809523809523,0.2,0.3305785123966942,0.8073999999999999,0.275845406335947,0.28789899230913407,0.105,0.4649122807017544
uncapped_fd0p5_rc1_rfp2_fmp2,7,,0.5,1.0,2.0,2.0,0.747647382564353,1.1733374384236455,1.1733374384236455,0.9385964912280702,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.4649122807017544,-0.53,0.595,0.9523809523809523,0.2,0.3305785123966942,0.8073999999999999,0.275845406335947,0.28789899230913407,0.105,0.4649122807017544
uncapped_fd0p5_rc1_rfp2_fmp3,7,,0.5,1.0,2.0,3.0,0.5153604434505001,1.1056034482758619,1.1056034482758619,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,-1.005,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp2_fmp4,7,,0.5,1.0,2.0,4.0,0.5153604434505001,1.0520320197044333,1.0520320197044333,0.9385964912280702,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5,-1.7069999999999999,0.641,0.9490445859872612,0.298,0.4535768645357686,0.8073999999999999,0.275845406335947,0.28789899230913407,0.157,0.5
uncapped_fd0p5_rc1_rfp2_fmp6,7,,0.5,1.0,2.0,6.0,0.21964810132554,0.9575123152709362,0.9575123152709362,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.9670566502463053,0.054273077690797956,0.0508062420396866,0.5263157894736842,-2.192,0.702,0.8976377952755905,0.456,0.6047745358090185,0.8073999999999999,0.275845406335947,0.28789899230913407,0.254,0.5263157894736842
