scenario_id,scenario,criterion,criterion_label,metric,metric_value,runner_up_margin,winner_family,finding_id,method,accuracy,auc,brier,ece,fake_call_rate,coverage,decided_accuracy,runner_up_finding_id,runner_up_family,runner_up_method,scenario_caveat
same_domain_ishu,Ishu Same-Domain Anchor,best_accuracy,Best accuracy,accuracy,0.845,0.020399999999999974,physics-guided neural,ishu_same_physics_guided,Physics-guided ResNet-18 + combined_v3,0.845,0.9177,,,,,,ishu_same_combined_v3,physical/signal conventional,combined_v3,"Same-domain wins are useful anchors, not deployment evidence under generator shift."
same_domain_ishu,Ishu Same-Domain Anchor,best_auc,Best AUC,auc,0.9177,0.020737766830870252,physics-guided neural,ishu_same_physics_guided,Physics-guided ResNet-18 + combined_v3,0.845,0.9177,,,,,,ishu_same_combined_v4_raw,physical/signal conventional,combined_v4,"Same-domain wins are useful anchors, not deployment evidence under generator shift."
forward_transfer_ishu_to_ms,Ishu -> MS COCOAI Transfer,best_accuracy,Best accuracy,accuracy,0.6363333333333333,0.018000000000000016,frozen foundation,ishu_to_ms_clip_standalone,Frozen CLIP ViT-B/32,0.6363333333333333,0.8641186666666667,0.3145590660101832,0.332607239038613,0.163,,,ishu_to_ms_scp_fusion_clip,score/source fusion,SCP-Fusion + CLIP,Forward transfer separates ranking strength from calibrated/default binary decisions.
forward_transfer_ishu_to_ms,Ishu -> MS COCOAI Transfer,best_auc,Best AUC,auc,0.8641186666666667,0.06462400000000013,frozen foundation,ishu_to_ms_clip_standalone,Frozen CLIP ViT-B/32,0.6363333333333333,0.8641186666666667,0.3145590660101832,0.332607239038613,0.163,,,ishu_to_ms_scp_fusion_all_foundation,score/source fusion,SCP-Fusion + CLIP + DINOv2,Forward transfer separates ranking strength from calibrated/default binary decisions.
forward_transfer_ishu_to_ms,Ishu -> MS COCOAI Transfer,best_brier,Best Brier,brier,0.3111858056267885,0.000577002918052294,score/source fusion,ishu_to_ms_scp_fusion_clip,SCP-Fusion + CLIP,0.6183333333333333,0.7914826666666667,0.3111858056267885,0.3252654566061756,0.1343333333333333,,,ishu_to_ms_scp_fusion_all_foundation,score/source fusion,SCP-Fusion + CLIP + DINOv2,Forward transfer separates ranking strength from calibrated/default binary decisions.
forward_transfer_ishu_to_ms,Ishu -> MS COCOAI Transfer,best_ece,Best ECE,ece,0.2662804490555417,0.02486129577280266,physical/signal conventional,ishu_to_ms_combined_v4_selectk60,combined_v4 select-k60,0.5553333333333333,0.5921826666666666,0.3260839878018836,0.2662804490555417,0.1813333333333333,,,ishu_to_ms_combined_v3,physical/signal conventional,combined_v3,Forward transfer separates ranking strength from calibrated/default binary decisions.
forward_transfer_ishu_to_ms,Ishu -> MS COCOAI Transfer,fake_rate_closest_0p5,Smallest fake-call gap from 0.5,fake_call_rate_gap,0.2293333333333334,0.02533333333333332,physics-guided neural,ishu_to_ms_physics_guided,Physics-guided ResNet-18 + combined_v3,0.606,0.6636693333333333,0.3366714871422014,0.30938615826539,0.2706666666666666,,,ishu_to_ms_resnet18,task-trained neural,ResNet-18,Forward transfer separates ranking strength from calibrated/default binary decisions.
forward_triage_ishu_to_ms,Ishu -> MS COCOAI Source-Heldout Triage,best_decided_accuracy,Best decided accuracy,decided_accuracy,0.9261335711624388,0.052860741408128464,frozen foundation,ishu_to_ms_triage5_clip_standalone,Frozen CLIP ViT-B/32,,,,,,0.4746666666666667,0.9261335711624388,ishu_to_ms_triage5_scp_fusion_all_foundation,score/source fusion,SCP-Fusion + CLIP + DINOv2,Triage coverage is intentionally partial; it is not full automation.
forward_triage_ishu_to_ms,Ishu -> MS COCOAI Source-Heldout Triage,best_coverage,Best triage coverage,coverage,0.4746666666666667,0.17180952380952386,frozen foundation,ishu_to_ms_triage5_clip_standalone,Frozen CLIP ViT-B/32,,,,,,0.4746666666666667,0.9261335711624388,ishu_to_ms_triage5_scp_fusion_all_foundation,score/source fusion,SCP-Fusion + CLIP + DINOv2,Triage coverage is intentionally partial; it is not full automation.
reverse_transfer_ms_to_ishu,MS COCOAI -> Ishu Reverse Transfer,best_accuracy,Best accuracy,accuracy,0.7748538011695906,0.011695906432748426,score/source fusion,ms_to_ishu_tuned_fusion_native_tiling_best,Reverse tuned fusion + native tiled combined_v3,0.7748538011695906,0.8471880131362889,0.2975588973364195,0.3188061800047906,0.5467836257309941,,,ms_to_ishu_tuned_fusion_constraint_sweep_best,score/source fusion,Reverse tuned-fusion constraint sweep best,"Reverse-transfer winners depend strongly on whether ranking, calibration, or fake-call bias is prioritized."
