"encoder","seed","split","n_samples","accuracy","auc","brier","ece","precision","recall","f1","predicted_fake_rate"
"convnext_tiny","7","ms_cocoai_validation","200","0.865","0.9299","0.109305555708665","0.095180858196252","0.868686868686869","0.86","0.864321608040201","0.495"
"convnext_tiny","7","ms_cocoai_to_ishu_test","114","0.631578947368421","0.805418719211823","0.302514845591227","0.324641811949194","0.576086956521739","0.946428571428571","0.716216216216216","0.807017543859649"
"convnext_tiny","17","ms_cocoai_validation","200","0.91","0.9689","0.0661078568701572","0.0374000084203598","0.91","0.91","0.91","0.5"
"convnext_tiny","17","ms_cocoai_to_ishu_test","114","0.631578947368421","0.77185960591133","0.30975118962601","0.313775676995711","0.5875","0.839285714285714","0.691176470588235","0.701754385964912"
"convnext_tiny","29","ms_cocoai_validation","200","0.88","0.9312","0.101725548467134","0.0827099861537486","0.88","0.88","0.88","0.5"
"convnext_tiny","29","ms_cocoai_to_ishu_test","114","0.710526315789474","0.847136699507389","0.245808247283489","0.246651727900539","0.645569620253165","0.910714285714286","0.755555555555556","0.692982456140351"
"clip_vit_b_32","7","ms_cocoai_validation","200","0.97","0.995","0.0240720928420439","0.0184724075378721","0.96078431372549","0.98","0.97029702970297","0.51"
"clip_vit_b_32","7","ms_cocoai_to_ishu_test","114","0.614035087719298","0.857142857142857","0.335512656237196","0.36730488822101","0.56","1","0.717948717948718","0.87719298245614"
"clip_vit_b_32","17","ms_cocoai_validation","200","0.96","0.9949","0.0272710716046098","0.0353218494357098","0.933962264150943","0.99","0.961165048543689","0.53"
"clip_vit_b_32","17","ms_cocoai_to_ishu_test","114","0.614035087719298","0.805572660098522","0.340567776929131","0.364403479460937","0.56","1","0.717948717948718","0.87719298245614"
"clip_vit_b_32","29","ms_cocoai_validation","200","0.965","0.997","0.0218311417245244","0.0172181447875129","0.951456310679612","0.98","0.96551724137931","0.515"
"clip_vit_b_32","29","ms_cocoai_to_ishu_test","114","0.640350877192982","0.810036945812808","0.318890731940721","0.33800301421523","0.578947368421053","0.982142857142857","0.728476821192053","0.833333333333333"
"dinov2_vits14","7","ms_cocoai_validation","200","0.825","0.90105","0.137992485155374","0.122993322255172","0.842105263157895","0.8","0.82051282051282","0.475"
"dinov2_vits14","7","ms_cocoai_to_ishu_test","114","0.675438596491228","0.69996921182266","0.306093923148177","0.31775177346566","0.623376623376623","0.857142857142857","0.721804511278195","0.675438596491228"
"dinov2_vits14","17","ms_cocoai_validation","200","0.845","0.9093","0.131237751434768","0.115602041109651","0.855670103092783","0.83","0.842639593908629","0.485"
"dinov2_vits14","17","ms_cocoai_to_ishu_test","114","0.587719298245614","0.662869458128079","0.369111257201386","0.365036054622645","0.55421686746988","0.821428571428571","0.661870503597122","0.728070175438597"
"dinov2_vits14","29","ms_cocoai_validation","200","0.795","0.8776","0.170967195960557","0.160665718661829","0.775700934579439","0.83","0.801932367149758","0.535"
"dinov2_vits14","29","ms_cocoai_to_ishu_test","114","0.587719298245614","0.637931034482759","0.366250560839171","0.366813360461892","0.56","0.75","0.641221374045801","0.657894736842105"
