candidate,seed,run_dir,threshold,threshold_strategy,threshold_source,threshold_max_positive_rate,summary_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_specificity,source_real_fpr,source_fake_miss_rate,source_positive_rate,source_predicted_positive_rate,target_variant,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
score_fusion_all6,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_seed7,0.5,fixed,fixed,,0.495,1.8249999999999997,0.975,0.9797979797979798,0.97,0.98,0.020000000000000018,0.030000000000000027,0.5,0.495,ishu_test,0.631578947368421,0.5714285714285714,1.0,0.7272727272727273,0.8389778325123154,0.3036548114243108,0.3341339232783891,0.8596491228070176
score_fusion_all6,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_seed17,0.5,fixed,fixed,,0.495,1.8249999999999997,0.975,0.9797979797979798,0.97,0.98,0.020000000000000018,0.030000000000000027,0.5,0.495,ishu_test,0.6754385964912281,0.6043956043956044,0.9821428571428572,0.7482993197278912,0.7783251231527094,0.3024520106812116,0.3193526786368933,0.7982456140350878
score_fusion_all6,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_seed29,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6491228070175439,0.5869565217391305,0.9642857142857144,0.7297297297297297,0.8651477832512315,0.2770860146184428,0.3008154572954511,0.8070175438596491
score_fusion_all6_temp_balanced,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_temp_balanced_seed7,0.5,fixed,fixed,,0.505,1.7999999999999998,0.975,0.9702970297029703,0.98,0.97,0.030000000000000027,0.020000000000000018,0.5,0.505,ishu_test,0.6228070175438597,0.5656565656565656,1.0,0.7225806451612903,0.8392857142857142,0.3426366550227301,0.3665643347550644,0.868421052631579
score_fusion_all6_temp_balanced,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_temp_balanced_seed17,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6754385964912281,0.6067415730337079,0.9642857142857144,0.7448275862068966,0.769396551724138,0.3128518185940508,0.3292315928990791,0.7807017543859649
score_fusion_all6_temp_balanced,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_temp_balanced_seed29,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6754385964912281,0.6067415730337079,0.9642857142857144,0.7448275862068966,0.8768472906403941,0.2646316004417313,0.2952799412109522,0.7807017543859649
score_fusion_all6_c01,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c01_seed7,0.5,fixed,fixed,,0.5,1.6999999999999997,0.96,0.96,0.96,0.96,0.040000000000000036,0.040000000000000036,0.5,0.5,ishu_test,0.6578947368421053,0.5894736842105263,1.0,0.7417218543046358,0.8362068965517241,0.2501300658919466,0.2776011089082786,0.8333333333333334
score_fusion_all6_c01,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c01_seed17,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6491228070175439,0.5888888888888889,0.9464285714285714,0.726027397260274,0.7872536945812808,0.2714346426049248,0.2749716239331531,0.7894736842105263
score_fusion_all6_c01,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c01_seed29,0.5,fixed,fixed,,0.505,1.7249999999999996,0.965,0.9603960396039604,0.97,0.96,0.040000000000000036,0.030000000000000027,0.5,0.505,ishu_test,0.6403508771929824,0.5806451612903226,0.9642857142857144,0.7248322147651006,0.8863916256157636,0.2199377795430862,0.2433370698361282,0.8157894736842105
score_fusion_all6_c01_temp_balanced,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c01_temp_balanced_seed7,0.5,fixed,fixed,,0.5,1.6999999999999997,0.96,0.96,0.96,0.96,0.040000000000000036,0.040000000000000036,0.5,0.5,ishu_test,0.6491228070175439,0.5833333333333334,1.0,0.7368421052631579,0.833128078817734,0.2952624999640688,0.329095782704797,0.8421052631578947
