method,split,n_seeds,n_samples_mean,accuracy,accuracy_std,auc,auc_std,brier,brier_std,ece,ece_std,precision,precision_std,recall,recall_std,f1,f1_std,predicted_fake_rate,predicted_fake_rate_std
clip_vit_b_32,ms_cocoai_validation,3,200,0.965,0.004082482904638634,0.9956333333333333,0.00096724120856982,0.024391435390392725,0.0022322923975815804,0.02367080058703159,0.008254433080369586,0.9487342961853484,0.01111793170288719,0.9833333333333333,0.004714045207910321,0.9656597732086567,0.0037294777529968885,0.5183333333333333,0.008498365855987983
clip_vit_b_32,ms_cocoai_to_ishu_test,3,114,0.6228070175438597,0.012405382126079768,0.8242508210180624,0.023329480520874576,0.33165705503568244,0.00926005094752782,0.3565704606323927,0.013182490736804456,0.5663157894736842,0.008931875130777428,0.9940476190476191,0.008417937871268445,0.7214580856964963,0.00496299546426283,0.8625730994152047,0.020675636876799595
combined_v3,ms_cocoai_validation,3,200,0.735,0.014142135623730963,0.8127333333333333,0.009561148234158691,0.17746470725436245,0.004624734027145811,0.06576223710396636,0.002304824507935222,0.7373339891785539,0.0006956289042661615,0.73,0.04242640687119289,0.7330608200173417,0.021371739701414268,0.495,0.028284271247461926
combined_v3,ms_cocoai_to_ishu_test,3,114,0.5467836257309941,0.018024602347862514,0.577175697865353,0.04661560062406961,0.3078419618447595,0.028667399375204163,0.2471733704202029,0.04127836977022306,0.5288355104569464,0.015219099346968572,0.7261904761904762,0.030351306628528512,0.6114588531722308,0.010856292915963182,0.6754385964912281,0.039877724260192544
convnext_tiny,ms_cocoai_validation,3,200,0.885,0.018708286933869722,0.9433333333333334,0.01808615185408136,0.09237965368198515,0.018832942914600376,0.07176361759012012,0.024826382321422397,0.8862289562289563,0.017431649883678006,0.8833333333333333,0.020548046676563275,0.8847738693467336,0.01895118719962809,0.49833333333333335,0.0023570226039551605
convnext_tiny,ms_cocoai_to_ishu_test,3,114,0.6578947368421052,0.037216146378239355,0.808138341543514,0.030791854597038464,0.2860247608335754,0.028590407952559037,0.2950230722818143,0.03449017676716861,0.6030521922583012,0.030423271277460816,0.8988095238095238,0.044543540318737376,0.7209827474533357,0.026497880548365712,0.7339181286549707,0.051812997504881116
dinov2_vits14,ms_cocoai_validation,3,200,0.8216666666666667,0.020548046676563226,0.8959833333333334,0.013428224835108424,0.14673247751689977,0.017356992643534852,0.13308702734221725,0.019733151808059166,0.8244921002767058,0.034942186615306715,0.82,0.01414213562373091,0.8216949271904028,0.016639663653400034,0.49833333333333335,0.026246692913372727
dinov2_vits14,ms_cocoai_to_ishu_test,3,114,0.6169590643274854,0.04135127375359924,0.6669232348111658,0.025488673183220303,0.34715191372957793,0.02905586388156447,0.3498670628500657,0.02272052762290298,0.5791978302821676,0.03132821385404622,0.8095238095238095,0.044543540318737376,0.6749654629737064,0.03417620002632925,0.6871345029239766,0.02981882756487009
physics_guided_resnet18_combined_v3,ms_cocoai_validation,3,200,0.8316666666666667,0.006236095644623242,0.8953333333333333,0.01658620578137819,0.13814460979160495,0.00525298068890151,0.1090350550967655,0.011809832228881325,0.8361628369027555,0.03269247021975469,0.83,0.057154760664940824,0.8306387044251122,0.014747483591777258,0.49833333333333335,0.05201495511442414
physics_guided_resnet18_combined_v3,ms_cocoai_to_ishu_test,3,114,0.6871345029239766,0.05030599571369955,0.7419950738916256,0.04670949732235335,0.24364156928403155,0.0335988340270541,0.1901579079334922,0.03837982439597903,0.6687210406365943,0.043977992756788195,0.7202380952380952,0.08417937871268424,0.6918684524412876,0.054562525673710414,0.5292397660818714,0.05030599571369959
resnet18,ms_cocoai_validation,3,200,0.8266666666666667,0.004714045207910321,0.8962333333333333,0.020775840670248583,0.1400383901660755,0.01508024984961289,0.11374123343679769,0.013079780777948257,0.8366724088429515,0.03600145769778377,0.8166666666666667,0.04189935029992177,0.8247091259994486,0.005453357483377683,0.49,0.04546060565661954
