method,seed,split,n_samples,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate
combined_v3,7,ms_cocoai_validation,200,0.725,0.8027,0.18242786543089523,0.0668874722579494,0.7368421052631579,0.7,0.717948717948718,0.475
combined_v3,7,ms_cocoai_to_ishu_test,114,0.5263157894736842,0.5726600985221675,0.31709070401009043,0.2650625841725338,0.5128205128205128,0.7142857142857143,0.5970149253731343,0.6842105263157895
combined_v3,17,ms_cocoai_validation,200,0.755,0.8099,0.1786719684877686,0.06784890403505413,0.7383177570093458,0.79,0.7632850241545893,0.535
combined_v3,17,ms_cocoai_to_ishu_test,114,0.543859649122807,0.5224753694581281,0.337402020795014,0.28635191535087007,0.524390243902439,0.7678571428571429,0.6231884057971014,0.7192982456140351
combined_v3,29,ms_cocoai_validation,200,0.725,0.8256,0.1712942878444235,0.06255033501889558,0.7368421052631579,0.7,0.717948717948718,0.475
combined_v3,29,ms_cocoai_to_ishu_test,114,0.5701754385964912,0.6363916256157636,0.26903316072917394,0.1901056117372048,0.5492957746478874,0.6964285714285714,0.6141732283464567,0.6228070175438597
resnet18,7,ms_cocoai_validation,200,0.83,0.8931,0.14199959404510593,0.10386182710307168,0.83,0.83,0.83,0.5
resnet18,7,ms_cocoai_to_ishu_test,114,0.6052631578947368,0.6921182266009852,0.30344683417611384,0.2824446229255835,0.5797101449275363,0.7142857142857143,0.64,0.6052631578947368
resnet18,17,ms_cocoai_validation,200,0.83,0.9230999999999999,0.12066659025582492,0.10513770967398742,0.8837209302325582,0.76,0.8172043010752689,0.43
resnet18,17,ms_cocoai_to_ishu_test,114,0.5877192982456141,0.6554802955665026,0.3212930413695266,0.2825298119548773,0.5671641791044776,0.6785714285714286,0.6178861788617886,0.5877192982456141
resnet18,29,ms_cocoai_validation,200,0.82,0.8724999999999999,0.1574489861972957,0.132224163533334,0.7962962962962963,0.86,0.8269230769230769,0.54
resnet18,29,ms_cocoai_to_ishu_test,114,0.7280701754385965,0.7540024630541872,0.23848560306007724,0.23644356676508071,0.6984126984126984,0.7857142857142857,0.7394957983193278,0.5526315789473685
physics_guided_resnet18_combined_v3,7,ms_cocoai_validation,200,0.83,0.8962,0.13947926566167518,0.09239192145101698,0.8113207547169812,0.86,0.8349514563106796,0.53
physics_guided_resnet18_combined_v3,7,ms_cocoai_to_ishu_test,114,0.6228070175438597,0.688115763546798,0.2839727882251673,0.24188736459358265,0.6065573770491803,0.6607142857142857,0.6324786324786325,0.5350877192982456
physics_guided_resnet18_combined_v3,17,ms_cocoai_validation,200,0.825,0.9152,0.1311484012716383,0.11614716636080306,0.8823529411764706,0.75,0.8108108108108109,0.425
physics_guided_resnet18_combined_v3,17,ms_cocoai_to_ishu_test,114,0.6929824561403509,0.7358374384236452,0.24523295997451347,0.17852567292816518,0.6981132075471698,0.6607142857142857,0.6788990825688074,0.4649122807017544
physics_guided_resnet18_combined_v3,29,ms_cocoai_validation,200,0.84,0.8745999999999999,0.1438061624415014,0.11856607747847647,0.8148148148148148,0.88,0.8461538461538461,0.54
physics_guided_resnet18_combined_v3,29,ms_cocoai_to_ishu_test,114,0.7456140350877193,0.8020320197044335,0.20171895965241385,0.15006068627872876,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.5877192982456141
convnext_tiny,7,ms_cocoai_validation,200,0.865,0.9299000000000001,0.1093055557086646,0.09518085819625197,0.8686868686868687,0.86,0.864321608040201,0.495
convnext_tiny,7,ms_cocoai_to_ishu_test,114,0.631578947368421,0.8054187192118227,0.3025148455912271,0.3246418119491937,0.5760869565217391,0.9464285714285714,0.7162162162162162,0.8070175438596491
convnext_tiny,17,ms_cocoai_validation,200,0.91,0.9689000000000001,0.06610785687015722,0.03740000842035975,0.91,0.91,0.91,0.5
convnext_tiny,17,ms_cocoai_to_ishu_test,114,0.631578947368421,0.7718596059113301,0.3097511896260098,0.3137756769957106,0.5875,0.8392857142857143,0.6911764705882353,0.7017543859649122
convnext_tiny,29,ms_cocoai_validation,200,0.88,0.9311999999999999,0.10172554846713364,0.08270998615374864,0.88,0.88,0.88,0.5
convnext_tiny,29,ms_cocoai_to_ishu_test,114,0.7105263157894737,0.8471366995073892,0.24580824728348932,0.2466517279005386,0.6455696202531646,0.9107142857142857,0.7555555555555555,0.6929824561403509
clip_vit_b_32,7,ms_cocoai_validation,200,0.97,0.995,0.024072092842043934,0.01847240753787207,0.9607843137254902,0.98,0.9702970297029703,0.51
clip_vit_b_32,7,ms_cocoai_to_ishu_test,114,0.6140350877192983,0.8571428571428572,0.3355126562371958,0.36730488822101043,0.56,1.0,0.717948717948718,0.8771929824561403
clip_vit_b_32,17,ms_cocoai_validation,200,0.96,0.9948999999999999,0.027271071604609794,0.03532184943570983,0.9339622641509434,0.99,0.9611650485436893,0.53
clip_vit_b_32,17,ms_cocoai_to_ishu_test,114,0.6140350877192983,0.8055726600985221,0.34056777692913054,0.3644034794609373,0.56,1.0,0.717948717948718,0.8771929824561403
clip_vit_b_32,29,ms_cocoai_validation,200,0.965,0.997,0.021831141724524442,0.01721814478751287,0.9514563106796117,0.98,0.9655172413793104,0.515
clip_vit_b_32,29,ms_cocoai_to_ishu_test,114,0.6403508771929824,0.8100369458128078,0.318890731940721,0.3380030142152304,0.5789473684210527,0.9821428571428571,0.7284768211920529,0.8333333333333334
dinov2_vits14,7,ms_cocoai_validation,200,0.825,0.90105,0.13799248515537443,0.12299332225517169,0.8421052631578947,0.8,0.8205128205128205,0.475
dinov2_vits14,7,ms_cocoai_to_ishu_test,114,0.6754385964912281,0.69996921182266,0.30609392314817696,0.31775177346565997,0.6233766233766234,0.8571428571428571,0.7218045112781954,0.6754385964912281
dinov2_vits14,17,ms_cocoai_validation,200,0.845,0.9093000000000001,0.13123775143476776,0.11560204110965086,0.8556701030927835,0.83,0.8426395939086294,0.485
dinov2_vits14,17,ms_cocoai_to_ishu_test,114,0.5877192982456141,0.6628694581280788,0.36911125720138566,0.3650360546226454,0.5542168674698795,0.8214285714285714,0.6618705035971223,0.7280701754385965
dinov2_vits14,29,ms_cocoai_validation,200,0.795,0.8776,0.17096719596055712,0.16066571866182922,0.7757009345794392,0.83,0.8019323671497585,0.535
dinov2_vits14,29,ms_cocoai_to_ishu_test,114,0.5877192982456141,0.6379310344827586,0.3662505608391711,0.36681336046189167,0.56,0.75,0.6412213740458015,0.6578947368421053
score_fusion_all6,7,ms_cocoai_validation,200,0.975,0.9924999999999999,0.021234388952972534,0.02214192033205732,0.9797979797979798,0.97,0.9748743718592965,0.495
score_fusion_all6,7,ms_cocoai_to_ishu_test,114,0.631578947368421,0.8389778325123154,0.3036548114243108,0.3341339232783891,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176
