method,seed,split,default_threshold,default_accuracy,clean_threshold,clean_threshold_accuracy,oracle_threshold,oracle_accuracy,auc
clip_vit_b_32,7,ms_cocoai_to_ishu_test,0.5,0.6140350877192983,0.5,0.6140350877192983,0.9968605637550354,0.8245614035087719,0.8571428571428572
combined_v3,7,ms_cocoai_to_ishu_test,0.5,0.5263157894736842,0.5139316022396088,0.5263157894736842,0.8598707318305969,0.5877192982456141,0.5726600985221675
convnext_tiny,7,ms_cocoai_to_ishu_test,0.5,0.631578947368421,0.3143921494483948,0.6491228070175439,0.9337330758571625,0.7543859649122807,0.8054187192118227
dinov2_vits14,7,ms_cocoai_to_ishu_test,0.5,0.6754385964912281,0.5388824045658112,0.6666666666666666,0.9804297983646394,0.7192982456140351,0.69996921182266
physics_guided,7,ms_cocoai_to_ishu_test,0.5,0.6228070175438597,0.5,0.6228070175438597,0.6549630463123322,0.6578947368421053,0.688115763546798
resnet18,7,ms_cocoai_to_ishu_test,0.5,0.6052631578947368,0.5457959473133087,0.6140350877192983,0.9306639432907104,0.6754385964912281,0.6921182266009852
score_fusion_all6,7,ms_cocoai_to_ishu_test,0.5,0.631578947368421,0.5,0.631578947368421,0.9112770413090538,0.7807017543859649,0.8389778325123154
score_fusion_all6_temp_balanced,7,ms_cocoai_to_ishu_test,0.5,0.6228070175438597,0.6256490022180088,0.6403508771929824,0.9946195081570895,0.7631578947368421,0.8392857142857142
clip_vit_b_32,17,ms_cocoai_to_ishu_test,0.5,0.6140350877192983,0.754252552986145,0.6666666666666666,0.998429149389267,0.7543859649122807,0.8055726600985221
combined_v3,17,ms_cocoai_to_ishu_test,0.5,0.543859649122807,0.4865101277828216,0.5350877192982456,0.5101404190063477,0.5526315789473685,0.5224753694581281
convnext_tiny,17,ms_cocoai_to_ishu_test,0.5,0.631578947368421,0.746497243642807,0.6666666666666666,0.9704985022544861,0.7280701754385965,0.7718596059113301
dinov2_vits14,17,ms_cocoai_to_ishu_test,0.5,0.5877192982456141,0.5,0.5877192982456141,0.9983024597167969,0.6578947368421053,0.6628694581280788
physics_guided,17,ms_cocoai_to_ishu_test,0.5,0.6929824561403509,0.3179294764995575,0.6754385964912281,0.5,0.6929824561403509,0.7358374384236452
resnet18,17,ms_cocoai_to_ishu_test,0.5,0.5877192982456141,0.3550246059894562,0.6052631578947368,0.9718463718891144,0.6228070175438597,0.6554802955665026
score_fusion_all6,17,ms_cocoai_to_ishu_test,0.5,0.6754385964912281,0.6920747184460223,0.6666666666666666,0.9572717802566052,0.7192982456140351,0.7783251231527094
score_fusion_all6_temp_balanced,17,ms_cocoai_to_ishu_test,0.5,0.6754385964912281,0.8448516697093842,0.6754385964912281,0.9901453351995443,0.7105263157894737,0.769396551724138
clip_vit_b_32,29,ms_cocoai_to_ishu_test,0.5,0.6403508771929824,0.616693913936615,0.6578947368421053,0.9497645795345306,0.7456140350877193,0.8100369458128078
combined_v3,29,ms_cocoai_to_ishu_test,0.5,0.5701754385964912,0.5565014779567719,0.5614035087719298,0.8041664063930511,0.6228070175438597,0.6363916256157636
convnext_tiny,29,ms_cocoai_to_ishu_test,0.5,0.7105263157894737,0.5237021446228027,0.7192982456140351,0.9921492040157318,0.7982456140350878,0.8471366995073892
dinov2_vits14,29,ms_cocoai_to_ishu_test,0.5,0.5877192982456141,0.3778964877128601,0.5964912280701754,0.9996781647205354,0.6140350877192983,0.6379310344827586
physics_guided,29,ms_cocoai_to_ishu_test,0.5,0.7456140350877193,0.5077529549598694,0.7456140350877193,0.7406638860702515,0.7807017543859649,0.8020320197044335
resnet18,29,ms_cocoai_to_ishu_test,0.5,0.7280701754385965,0.5,0.7280701754385965,0.5300354659557343,0.7368421052631579,0.7540024630541872
score_fusion_all6,29,ms_cocoai_to_ishu_test,0.5,0.6491228070175439,0.7324385198246771,0.6929824561403509,0.9174566525782142,0.8157894736842105,0.8651477832512315
score_fusion_all6_temp_balanced,29,ms_cocoai_to_ishu_test,0.5,0.6754385964912281,0.567088064757008,0.6754385964912281,0.9533323081387223,0.8157894736842105,0.8768472906403941
