config,branch,n_seeds,standardized_coefficient_mean,raw_score_coefficient_mean
score_fusion_all6,__intercept__,3,-0.1563778266571022,-5.731573943482187
score_fusion_all6,clip_vit_b_32,3,2.70242220886419,5.6704767496961495
score_fusion_all6,combined_v3,3,0.4199820777279875,1.4477562984146448
score_fusion_all6,convnext_tiny,3,0.7300264887460722,1.599046343053196
score_fusion_all6,dinov2_vits14,3,0.29376371409105045,0.6513676094989912
score_fusion_all6,physics_guided,3,0.2657058202875141,0.6272271250057753
score_fusion_all6,resnet18,3,0.4768956027842031,1.1179264283464567
score_fusion_all6_temp_balanced,__intercept__,3,-0.1181421949591114,-4.998558817162037
score_fusion_all6_temp_balanced,clip_vit_b_32,3,2.2923572395496783,4.78372673662853
score_fusion_all6_temp_balanced,combined_v3,3,0.35174398910462545,1.1770353667996194
score_fusion_all6_temp_balanced,convnext_tiny,3,0.7459236741600461,1.6234187606046586
score_fusion_all6_temp_balanced,dinov2_vits14,3,0.37455075786573067,0.8310931356978289
score_fusion_all6_temp_balanced,physics_guided,3,0.11918123561603737,0.27803251848798205
score_fusion_all6_temp_balanced,resnet18,3,0.4826199209212742,1.1161465291067552
score_fusion_all6_c01,__intercept__,3,-0.03532613207218478,-3.794566500982022
score_fusion_all6_c01,clip_vit_b_32,3,1.3353507566100706,2.80188178739547
score_fusion_all6_c01,combined_v3,3,0.258136996153751,0.8829380568269486
score_fusion_all6_c01,convnext_tiny,3,0.5844251935221176,1.2784313414302504
score_fusion_all6_c01,dinov2_vits14,3,0.41268431741227046,0.9151880386799635
score_fusion_all6_c01,physics_guided,3,0.3252394892061829,0.7662502890237443
score_fusion_all6_c01,resnet18,3,0.36376146058176373,0.8485497561797362
score_fusion_all6_c01_temp_balanced,__intercept__,3,-0.027132355483350006,-3.186222774674677
score_fusion_all6_c01_temp_balanced,clip_vit_b_32,3,0.9423853572567948,1.9665364005387513
score_fusion_all6_c01_temp_balanced,combined_v3,3,0.2522037331417296,0.8470574474424541
score_fusion_all6_c01_temp_balanced,convnext_tiny,3,0.514799592908717,1.1196407371670605
score_fusion_all6_c01_temp_balanced,dinov2_vits14,3,0.3970472999935324,0.8762970939875553
score_fusion_all6_c01_temp_balanced,physics_guided,3,0.2942985582337786,0.6874277799913238
score_fusion_all6_c01_temp_balanced,resnet18,3,0.3670438133179194,0.8447912776552687
score_fusion_all6_c003,__intercept__,3,-0.01334805560143384,-2.781615005936005
score_fusion_all6_c003,clip_vit_b_32,3,0.7726708465395727,1.6213227021922099
score_fusion_all6_c003,combined_v3,3,0.21774634781433286,0.74320401111509
score_fusion_all6_c003,convnext_tiny,3,0.4496367313530157,0.9835503196726416
score_fusion_all6_c003,dinov2_vits14,3,0.3446617130467797,0.7643676272013107
score_fusion_all6_c003,physics_guided,3,0.2949811903229663,0.6946641638106454
score_fusion_all6_c003,resnet18,3,0.30636544672028204,0.7133716840127675
score_fusion_all6_dropout_mean_r35x8,__intercept__,3,-0.12334421195466987,-9.533421808442586
score_fusion_all6_dropout_mean_r35x8,clip_vit_b_32,3,3.129329580161431,7.929414319713293
score_fusion_all6_dropout_mean_r35x8,combined_v3,3,0.4138030819408556,1.703464280189071
score_fusion_all6_dropout_mean_r35x8,convnext_tiny,3,1.160577219769214,3.0604166025409443
score_fusion_all6_dropout_mean_r35x8,dinov2_vits14,3,0.7232430717643127,1.9409129704248027
score_fusion_all6_dropout_mean_r35x8,physics_guided,3,0.6558445141165391,1.8833148457404447
score_fusion_all6_dropout_mean_r35x8,resnet18,3,0.7573300119281507,2.139074788164562
score_fusion_all6_dropout_mean_r35x8_temp_balanced,__intercept__,3,-0.08113980631435903,-9.192733193186923
score_fusion_all6_dropout_mean_r35x8_temp_balanced,clip_vit_b_32,3,3.1558212808814425,7.910497157132983
score_fusion_all6_dropout_mean_r35x8_temp_balanced,combined_v3,3,0.45778928460847246,1.8420612345805916
score_fusion_all6_dropout_mean_r35x8_temp_balanced,convnext_tiny,3,1.1077407417288754,2.910729117464499
score_fusion_all6_dropout_mean_r35x8_temp_balanced,dinov2_vits14,3,0.6136479796544937,1.6594862443842961
score_fusion_all6_dropout_mean_r35x8_temp_balanced,physics_guided,3,0.6510764824412498,1.8451635550140473
score_fusion_all6_dropout_mean_r35x8_temp_balanced,resnet18,3,0.7865897727064451,2.1948703852920692
