config,split,n_seeds,accuracy,accuracy_std,auc,auc_std,brier,brier_std,ece,ece_std,precision,precision_std,recall,recall_std,f1,f1_std,predicted_fake_rate,predicted_fake_rate_std,score_mean,score_mean_std
score_fusion_all6,ms_cocoai_validation,3,0.9733333333333333,0.0023570226039551605,0.9963333333333333,0.0027108834148463433,0.019137039999356394,0.0016775020611089577,0.025216071022027657,0.005811434924634943,0.9765319865319865,0.004618811971386879,0.97,0.0,0.973249581239531,0.002297800930488962,0.49666666666666665,0.0023570226039551605,0.49999935063137074,6.591684299731827e-06
score_fusion_all6,ms_cocoai_to_ishu_test,3,0.652046783625731,0.018024602347862514,0.8274835796387521,0.036365111150542265,0.29439761224132177,0.012250992928445977,0.31810068640357786,0.013630985713397263,0.5875935658544355,0.013466271064304649,0.9821428571428571,0.014580296087995102,0.7351005922434494,0.0093866579311577,0.8216374269005848,0.027115843554081004,0.8010643693880237,0.017325995617939238
score_fusion_all6_temp_balanced,ms_cocoai_validation,3,0.9716666666666667,0.0023570226039551605,0.9962,0.0021602468994692888,0.021619798355692024,0.0007405550400795965,0.024656016061043784,0.0013591466720469765,0.9700990099009901,0.00014002114478941548,0.9733333333333333,0.004714045207910321,0.9717081260364843,0.0024156550070386336,0.5016666666666667,0.0023570226039551605,0.5033507164884163,0.0070856632991342285
score_fusion_all6_temp_balanced,ms_cocoai_to_ishu_test,3,0.6578947368421053,0.024810764252159535,0.8285098522167488,0.04452343746769324,0.3067066913528374,0.032140515206969734,0.33035862295503193,0.029112641450044045,0.5930465705746605,0.019367658214317754,0.9761904761904762,0.016835875742536838,0.7374119391916945,0.01048730858267038,0.8099415204678363,0.041351273753599295,0.8069679681862034,0.03766873587869443
score_fusion_all6_c01,ms_cocoai_validation,3,0.965,0.004082482904638634,0.9949,0.0024055491403558405,0.028094887423089746,0.0025598023822381868,0.06854735068828867,0.006777898318857077,0.9634653465346534,0.004623525622732825,0.9666666666666667,0.004714045207910321,0.9650580431177446,0.004083308055204962,0.5016666666666667,0.0023570226039551605,0.49997668021189273,5.512570401253183e-05
score_fusion_all6_c01,ms_cocoai_to_ishu_test,3,0.6491228070175439,0.007162250709892356,0.8366174055829229,0.04047393178082231,0.2471674960133192,0.021127617652679953,0.26530326755918665,0.015569498592118624,0.5863359114632459,0.004031044078153304,0.9702380952380952,0.02227177015936871,0.7308604887766701,0.007695629112175844,0.8128654970760234,0.018024602347862514,0.7482193154678407,0.01810523663456542
score_fusion_all6_c01_temp_balanced,ms_cocoai_validation,3,0.9566666666666667,0.008498365855987983,0.9937666666666667,0.0022881336402306644,0.030363536368753538,0.0029634492701974924,0.02487436115356109,0.006783326393538296,0.9566303296996366,0.005048065625633693,0.9566666666666667,0.012472191289246483,0.9566325824812287,0.008681800054773025,0.5,0.004082482904638634,0.5038832667853576,0.004371552716183337
score_fusion_all6_c01_temp_balanced,ms_cocoai_to_ishu_test,3,0.6578947368421053,0.018949534205870942,0.8323070607553367,0.04223657181245309,0.2793969414099703,0.039970254191395035,0.29408587718958584,0.04040986634803957,0.5946273553407079,0.01531484533575139,0.9583333333333334,0.030351306628528474,0.7335207859376465,0.01216500813426038,0.7923976608187134,0.03675381605256294,0.7749510187756113,0.03895027644729228
score_fusion_all6_c003,ms_cocoai_validation,3,0.955,0.008164965809277268,0.9933000000000001,0.002662079387746785,0.04315522389666838,0.004064657984383835,0.1167321769487162,0.002390303403731656,0.9534620128679534,0.004920067417508632,0.9566666666666667,0.012472191289246483,0.9550405426802336,0.008349892706739286,0.5016666666666667,0.004714045207910321,0.5000408573531779,3.154468356928959e-05
score_fusion_all6_c003,ms_cocoai_to_ishu_test,3,0.6608187134502924,0.018024602347862514,0.8314860426929392,0.041742178414993086,0.2212960591196638,0.02232451543624044,0.20906161245572638,0.01894050375725443,0.5966741389664388,0.014024631740349852,0.9583333333333334,0.030351306628528474,0.7351473689514724,0.012809518753844472,0.7894736842105263,0.03282155602433283,0.6980863544198862,0.018826388848721787
score_fusion_all6_dropout_mean_r35x8,ms_cocoai_validation,3,0.9683333333333333,0.0023570226039551605,0.9955666666666666,0.002479695321786309,0.02337024292576286,0.00196434896785675,0.022157106189304925,0.003729275969697227,0.9667986798679867,0.0045273503481911,0.97,0.0,0.968391376451078,0.002274937239638277,0.5016666666666667,0.0023570226039551605,0.5007605303306593,0.0018039993535787272
score_fusion_all6_dropout_mean_r35x8,ms_cocoai_to_ishu_test,3,0.652046783625731,0.00413512737535994,0.84061986863711,0.038462910883802374,0.30566257089284776,0.015242888547417066,0.3275357021983146,0.008239142297830293,0.5878988161596858,0.004166019779689074,0.9761904761904762,0.016835875742536838,0.733755237514636,0.0029785069269187697,0.8157894736842105,0.01894953420587091,0.8043060641609933,0.018815436917232087
score_fusion_all6_dropout_mean_r35x8_temp_balanced,ms_cocoai_validation,3,0.965,0.0,0.9953333333333334,0.0026081070189358114,0.02440562217855635,0.0023711695789932047,0.02050480382746654,0.0033992442750221084,0.9603960396039604,0.0,0.97,0.0,0.9651741293532339,0.0,0.505,0.0,0.5062823488619093,0.004609088035120132
score_fusion_all6_dropout_mean_r35x8_temp_balanced,ms_cocoai_to_ishu_test,3,0.652046783625731,0.014909413782435054,0.840311986863711,0.042631960762449524,0.29390025595754904,0.019405989179914658,0.32292265021755,0.01442575048733496,0.589035964035964,0.012965782872782246,0.9702380952380952,0.02227177015936871,0.7326925719782863,0.0038758375624066816,0.8099415204678363,0.03675381605256298,0.7981413359087562,0.025522779925472614
