config,seed,split,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate,score_mean,n_samples
score_fusion_all6,7,ms_cocoai_validation,0.975,0.9924999999999999,0.021234388952972534,0.02214192033205732,0.9797979797979798,0.97,0.9748743718592965,0.495,0.500004652259417,200
score_fusion_all6,7,ms_cocoai_to_ishu_test,0.631578947368421,0.8389778325123154,0.3036548114243108,0.3341339232783891,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176,0.8253619934538278,114
score_fusion_all6,17,ms_cocoai_validation,0.975,0.9983,0.017128227369670748,0.02015228566734522,0.9797979797979798,0.97,0.9748743718592965,0.495,0.5000033402245568,200
score_fusion_all6,17,ms_cocoai_to_ishu_test,0.6754385964912281,0.7783251231527094,0.30245201068121164,0.3193526786368933,0.6043956043956044,0.9821428571428571,0.7482993197278912,0.7982456140350878,0.7916549523242565,114
score_fusion_all6,29,ms_cocoai_validation,0.97,0.9982,0.019048503675425897,0.03335400706668043,0.97,0.97,0.97,0.5,0.4999900594101383,200
score_fusion_all6,29,ms_cocoai_to_ishu_test,0.6491228070175439,0.8651477832512315,0.27708601461844284,0.3008154572954511,0.5869565217391305,0.9642857142857143,0.7297297297297297,0.8070175438596491,0.786176162385987,114
score_fusion_all6_temp_balanced,7,ms_cocoai_validation,0.975,0.9932,0.022493053219193274,0.02277173823099129,0.9702970297029703,0.98,0.9751243781094527,0.505,0.5089787045525453,200
score_fusion_all6_temp_balanced,7,ms_cocoai_to_ishu_test,0.6228070175438597,0.8392857142857142,0.3426366550227301,0.36656433475506445,0.5656565656565656,1.0,0.7225806451612903,0.868421052631579,0.857792404930503,114
score_fusion_all6_temp_balanced,17,ms_cocoai_validation,0.97,0.9982,0.020682469307597394,0.025926852874730868,0.97,0.97,0.97,0.5,0.5077168512397068,200
score_fusion_all6_temp_balanced,17,ms_cocoai_to_ishu_test,0.6754385964912281,0.769396551724138,0.31285181859405087,0.32923159289907916,0.6067415730337079,0.9642857142857143,0.7448275862068966,0.7807017543859649,0.7953781217619784,114
score_fusion_all6_temp_balanced,29,ms_cocoai_validation,0.97,0.9972,0.021683872540285407,0.0252694570774092,0.97,0.97,0.97,0.5,0.49335659367299683,200
score_fusion_all6_temp_balanced,29,ms_cocoai_to_ishu_test,0.6754385964912281,0.8768472906403941,0.2646316004417313,0.2952799412109522,0.6067415730337079,0.9642857142857143,0.7448275862068966,0.7807017543859649,0.7677333778661288,114
score_fusion_all6_c01,7,ms_cocoai_validation,0.96,0.9917,0.030432992254951694,0.06734818354470926,0.96,0.96,0.96,0.5,0.49998596798493566,200
score_fusion_all6_c01,7,ms_cocoai_to_ishu_test,0.6578947368421053,0.8362068965517241,0.2501300658919466,0.2776011089082786,0.5894736842105263,1.0,0.7417218543046358,0.8333333333333334,0.7688291790837173,114
score_fusion_all6_c01,17,ms_cocoai_validation,0.97,0.9975,0.024532337210922833,0.06091095483729761,0.97,0.97,0.97,0.5,0.5000390704048998,200
score_fusion_all6_c01,17,ms_cocoai_to_ishu_test,0.6491228070175439,0.7872536945812808,0.2714346426049248,0.2749716239331531,0.5888888888888889,0.9464285714285714,0.726027397260274,0.7894736842105263,0.7510720632308465,114
score_fusion_all6_c01,29,ms_cocoai_validation,0.965,0.9955,0.029319332803394715,0.07738291368285913,0.9603960396039604,0.97,0.9651741293532339,0.505,0.49990500224584267,200
score_fusion_all6_c01,29,ms_cocoai_to_ishu_test,0.6403508771929824,0.8863916256157636,0.21993777954308624,0.2433370698361282,0.5806451612903226,0.9642857142857143,0.7248322147651006,0.8157894736842105,0.7247567040889583,114
score_fusion_all6_c01_temp_balanced,7,ms_cocoai_validation,0.96,0.9909000000000001,0.03275083975875704,0.024199116174102964,0.96,0.96,0.96,0.5,0.5091024988742133,200
score_fusion_all6_c01_temp_balanced,7,ms_cocoai_to_ishu_test,0.6491228070175439,0.833128078817734,0.29526249996406884,0.32909578270479706,0.5833333333333334,1.0,0.7368421052631579,0.8421052631578947,0.8203238528802358,114
score_fusion_all6_c01_temp_balanced,17,ms_cocoai_validation,0.965,0.9964999999999999,0.026186826803275685,0.016924745948786794,0.9603960396039604,0.97,0.9651741293532339,0.505,0.5041433932428884,200
score_fusion_all6_c01_temp_balanced,17,ms_cocoai_to_ishu_test,0.6403508771929824,0.7801724137931035,0.3184497436341854,0.3156982586236352,0.5842696629213483,0.9285714285714286,0.7172413793103448,0.7807017543859649,0.7793139177399085,114
score_fusion_all6_c01_temp_balanced,29,ms_cocoai_validation,0.945,0.9939,0.03215294254422789,0.03349922133779351,0.9494949494949495,0.94,0.9447236180904522,0.495,0.4984039082389709,200
score_fusion_all6_c01_temp_balanced,29,ms_cocoai_to_ishu_test,0.6842105263157895,0.8836206896551724,0.22447858063165674,0.23746359024032526,0.6162790697674418,0.9464285714285714,0.7464788732394366,0.7543859649122807,0.7252152857066896,114
score_fusion_all6_c003,7,ms_cocoai_validation,0.955,0.9902000000000001,0.04591674011399168,0.11980237472347492,0.9504950495049505,0.96,0.9552238805970149,0.505,0.5000100929642162,200
score_fusion_all6_c003,7,ms_cocoai_to_ishu_test,0.6578947368421053,0.8300492610837438,0.22464021184562738,0.22483194570715745,0.5894736842105263,1.0,0.7417218543046358,0.8333333333333334,0.7160600158825959,114
score_fusion_all6_c003,17,ms_cocoai_validation,0.965,0.9966999999999999,0.037408381967107475,0.11397203122111535,0.9603960396039604,0.97,0.9651741293532339,0.505,0.5000842174830917,200
score_fusion_all6_c003,17,ms_cocoai_to_ishu_test,0.6403508771929824,0.7810960591133005,0.2468120033926805,0.21992708490503865,0.5842696629213483,0.9285714285714286,0.7172413793103448,0.7807017543859649,0.7061101085063101,114
score_fusion_all6_c003,29,ms_cocoai_validation,0.945,0.9930000000000001,0.04614054960890597,0.11642212490155833,0.9494949494949495,0.94,0.9447236180904522,0.495,0.500028261612226,200
score_fusion_all6_c003,29,ms_cocoai_to_ishu_test,0.6842105263157895,0.8833128078817735,0.19243596212068353,0.18242580675498304,0.6162790697674418,0.9464285714285714,0.7464788732394366,0.7543859649122807,0.6720889388707527,114
score_fusion_all6_dropout_mean_r35x8,7,ms_cocoai_validation,0.97,0.9922,0.024621530585670265,0.01862670121761561,0.97,0.97,0.97,0.5,0.49864396719135007,200
score_fusion_all6_dropout_mean_r35x8,7,ms_cocoai_to_ishu_test,0.6491228070175439,0.8362068965517242,0.3063691136170173,0.33740077343346025,0.5833333333333334,1.0,0.7368421052631579,0.8421052631578947,0.8286288436088988,114
score_fusion_all6_dropout_mean_r35x8,17,ms_cocoai_validation,0.97,0.9981,0.020596644325474735,0.02052916419854012,0.97,0.97,0.97,0.5,0.5030524005106524,200
score_fusion_all6_dropout_mean_r35x8,17,ms_cocoai_to_ishu_test,0.6578947368421053,0.7958743842364532,0.32396791885100373,0.327973033976681,0.5934065934065934,0.9642857142857143,0.7346938775510204,0.7982456140350878,0.8014898763891611,114
score_fusion_all6_dropout_mean_r35x8,29,ms_cocoai_validation,0.965,0.9964,0.024892553866143582,0.027315453151759046,0.9603960396039604,0.97,0.9651741293532339,0.505,0.5005852232899752,200
score_fusion_all6_dropout_mean_r35x8,29,ms_cocoai_to_ishu_test,0.6491228070175439,0.8897783251231527,0.2866506802105223,0.3172332991848026,0.5869565217391305,0.9642857142857143,0.7297297297297297,0.8070175438596491,0.7827994724849199,114
score_fusion_all6_dropout_mean_r35x8_temp_balanced,7,ms_cocoai_validation,0.965,0.9917,0.027756675812219606,0.01883103961625523,0.9603960396039604,0.97,0.9651741293532339,0.505,0.5105722190212103,200
score_fusion_all6_dropout_mean_r35x8_temp_balanced,7,ms_cocoai_to_ishu_test,0.631578947368421,0.8383620689655172,0.3086605372303311,0.3415376091185731,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176,0.8327656792940116,114
score_fusion_all6_dropout_mean_r35x8_temp_balanced,17,ms_cocoai_validation,0.965,0.9977,0.02262286935392613,0.017438971815197688,0.9603960396039604,0.97,0.9651741293532339,0.505,0.508387507814805,200
score_fusion_all6_dropout_mean_r35x8_temp_balanced,17,ms_cocoai_to_ishu_test,0.6666666666666666,0.7891009852216749,0.3065573106497891,0.3208446862777198,0.6022727272727273,0.9464285714285714,0.7361111111111112,0.7719298245614035,0.7896600518578727,114
score_fusion_all6_dropout_mean_r35x8_temp_balanced,29,ms_cocoai_validation,0.965,0.9966,0.02283732136952331,0.025244400050946705,0.9603960396039604,0.97,0.9651741293532339,0.505,0.4998873197497125,200
score_fusion_all6_dropout_mean_r35x8_temp_balanced,29,ms_cocoai_to_ishu_test,0.6578947368421053,0.8934729064039408,0.2664829199925269,0.3063856552563571,0.5934065934065934,0.9642857142857143,0.7346938775510204,0.7982456140350878,0.7719982765743846,114
