config,seed,default_accuracy,clean_threshold,clean_threshold_accuracy,oracle_threshold,oracle_accuracy,auc
score_fusion_all6,7,0.631578947368421,0.5,0.631578947368421,0.9112770413090536,0.7807017543859649,0.8389778325123154
score_fusion_all6,17,0.6754385964912281,0.6920747184460223,0.6666666666666666,0.9572717802566052,0.7192982456140351,0.7783251231527094
score_fusion_all6,29,0.6491228070175439,0.7324385198246771,0.6929824561403509,0.9174566525782141,0.8157894736842105,0.8651477832512315
score_fusion_all6_temp_balanced,7,0.6228070175438597,0.6256490022180088,0.6403508771929824,0.9946195081570894,0.7631578947368421,0.8392857142857142
score_fusion_all6_temp_balanced,17,0.6754385964912281,0.8448516697093842,0.6754385964912281,0.9901453351995442,0.7105263157894737,0.769396551724138
score_fusion_all6_temp_balanced,29,0.6754385964912281,0.567088064757008,0.6754385964912281,0.9533323081387223,0.8157894736842105,0.8768472906403941
score_fusion_all6_c01,7,0.6578947368421053,0.6844544902706722,0.7456140350877193,0.8232615328164639,0.7719298245614035,0.8362068965517241
score_fusion_all6_c01,17,0.6491228070175439,0.6547974406418853,0.6403508771929824,0.9118898007414726,0.7368421052631579,0.7872536945812808
score_fusion_all6_c01,29,0.6403508771929824,0.4932507355508334,0.6403508771929824,0.9009295529267922,0.8333333333333334,0.8863916256157636
score_fusion_all6_c01_temp_balanced,7,0.6491228070175439,0.8947909422552985,0.7368421052631579,0.9564498226935827,0.7719298245614035,0.833128078817734
score_fusion_all6_c01_temp_balanced,17,0.6403508771929824,0.7849683431171763,0.6666666666666666,0.9931306161485204,0.7368421052631579,0.7801724137931035
score_fusion_all6_c01_temp_balanced,29,0.6842105263157895,0.3312784070689439,0.6491228070175439,0.9399349434777631,0.8245614035087719,0.8836206896551724
score_fusion_all6_c003,7,0.6578947368421053,0.5465673436446261,0.6929824561403509,0.7139443500092734,0.7631578947368421,0.8300492610837438
score_fusion_all6_c003,17,0.6403508771929824,0.43411421595037725,0.6140350877192983,0.8352585213405657,0.7368421052631579,0.7810960591133005
score_fusion_all6_c003,29,0.6842105263157895,0.4895877542880989,0.6929824561403509,0.7472793992336704,0.8245614035087719,0.8833128078817735
score_fusion_all6_dropout_mean_r35x8,7,0.6491228070175439,0.5549696288796295,0.6578947368421053,0.9615538761981639,0.7719298245614035,0.8362068965517242
score_fusion_all6_dropout_mean_r35x8,17,0.6578947368421053,0.7703518023100386,0.6666666666666666,0.9990854878061438,0.7368421052631579,0.7958743842364532
score_fusion_all6_dropout_mean_r35x8,29,0.6491228070175439,0.4968149906665675,0.6491228070175439,0.9954720366967001,0.8333333333333334,0.8897783251231527
score_fusion_all6_dropout_mean_r35x8_temp_balanced,7,0.631578947368421,0.4954813984380977,0.631578947368421,0.9631184004114555,0.7631578947368421,0.8383620689655172
score_fusion_all6_dropout_mean_r35x8_temp_balanced,17,0.6666666666666666,0.7669888692311486,0.6666666666666666,0.9894814864520518,0.7368421052631579,0.7891009852216749
score_fusion_all6_dropout_mean_r35x8_temp_balanced,29,0.6578947368421053,0.462166035437107,0.631578947368421,0.9603508670701597,0.8333333333333334,0.8934729064039408
