config,seed,variant,score_calibrator,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate,score_mean,threshold,threshold_strategy,threshold_source,threshold_selection_utility,n_fusion_train,n_calibration
score_fusion_all6_source_acc,7,train,none,0.975,0.9923,0.022220805836986025,0.025435392719656204,0.9797979797979798,0.97,0.9748743718592965,0.495,0.5047361549744295,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_source_acc,7,ishu_test,none,0.631578947368421,0.8402093596059113,0.3000018147017184,0.33282629343908676,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176,0.8240543636145252,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_source_acc,17,train,none,0.975,0.9982,0.017000732467278967,0.0343533823619651,0.9797979797979798,0.97,0.9748743718592965,0.495,0.5023642135515248,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_source_acc,17,ishu_test,none,0.6578947368421053,0.7690886699507389,0.30448222286108617,0.31705228708985084,0.5913978494623656,0.9821428571428571,0.738255033557047,0.8157894736842105,0.7988918692372866,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_source_acc,29,train,none,0.975,0.998,0.019043725585683256,0.037576415822668505,0.9896907216494846,0.96,0.9746192893401016,0.485,0.5014969751793253,0.80368223950654,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_source_acc,29,ishu_test,none,0.6929824561403509,0.8552955665024631,0.29067104624038953,0.31508477621174535,0.6206896551724138,0.9642857142857143,0.7552447552447552,0.7631578947368421,0.7957836109550716,0.80368223950654,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_c003_source_acc,7,train,none,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.5052344157702439,0.6999312632060772,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c003_source_acc,7,ishu_test,none,0.7543859649122807,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.7,0.875,0.7777777777777778,0.6140350877192983,0.7073961070082385,0.6999312632060772,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c003_source_acc,17,train,none,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9603960396039604,0.97,0.9651741293532339,0.505,0.49998496245031177,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c003_source_acc,17,ishu_test,none,0.6228070175438597,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.5714285714285714,0.9285714285714286,0.7074829931972789,0.7982456140350878,0.6975733690805476,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c003_source_acc,29,train,none,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.49987214264653046,0.5641570110624826,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_c003_source_acc,29,ishu_test,none,0.7105263157894737,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6419753086419753,0.9285714285714286,0.7591240875912408,0.7105263157894737,0.6633256855910707,0.5641570110624826,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_c01_temp_source_acc,7,train,temperature_balanced,0.965,0.9909000000000001,0.031017584545169796,0.026880886622454674,0.9894736842105263,0.94,0.9641025641025641,0.475,0.5053262703126129,0.8922562934372477,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c01_temp_source_acc,7,ishu_test,temperature_balanced,0.7368421052631579,0.833743842364532,0.2894499550127021,0.3247964886646174,0.6625,0.9464285714285714,0.7794117647058824,0.7017543859649122,0.8160245588400559,0.8922562934372477,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c01_temp_source_acc,17,train,temperature_balanced,0.97,0.9976,0.029999227774677072,0.029981579378559275,0.97,0.97,0.97,0.5,0.5000184142652688,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c01_temp_source_acc,17,ishu_test,temperature_balanced,0.6491228070175439,0.6750307881773399,0.3446112651243658,0.34177516318012363,0.5869565217391305,0.9642857142857143,0.7297297297297297,0.8070175438596491,0.798760856217191,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_c01_temp_source_acc,29,train,temperature_balanced,0.97,0.9958,0.027002364804235554,0.0248722647109891,0.9607843137254902,0.98,0.9702970297029703,0.51,0.502486870550046,0.43854755468108286,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_c01_temp_source_acc,29,ishu_test,temperature_balanced,0.6403508771929824,0.8836206896551724,0.2857580466208422,0.31358140153924485,0.5806451612903226,0.9642857142857143,0.7248322147651006,0.8157894736842105,0.7834742485387587,0.43854755468108286,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_dropout_source_acc,7,train,none,0.965,0.9918,0.029373974005501347,0.023701011183053323,0.9894736842105263,0.94,0.9641025641025641,0.475,0.5027684138042194,0.8490401394039708,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_dropout_source_acc,7,ishu_test,none,0.7192982456140351,0.8285098522167488,0.29335071474512026,0.32492037424824893,0.6428571428571429,0.9642857142857143,0.7714285714285715,0.7368421052631579,0.8161484444236874,0.8490401394039708,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_dropout_source_acc,17,train,none,0.97,0.9983000000000001,0.018571935163006748,0.021113448944466193,0.97,0.97,0.97,0.5,0.503142577909838,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_dropout_source_acc,17,ishu_test,none,0.6578947368421053,0.7915640394088671,0.3228848036707567,0.3271194797248936,0.5934065934065934,0.9642857142857143,0.7346938775510204,0.7982456140350878,0.8062407498038217,0.5,source_accuracy,source_calibration,1.0,160,40
score_fusion_all6_dropout_source_acc,29,train,none,0.97,0.9973000000000001,0.02397226968985305,0.026495540251836452,0.9607843137254902,0.98,0.9702970297029703,0.51,0.5026651476129728,0.48684625520038166,source_accuracy,source_calibration,0.975,160,40
score_fusion_all6_dropout_source_acc,29,ishu_test,none,0.6403508771929824,0.8820812807881773,0.3086153314729963,0.3375741905152852,0.5806451612903226,0.9642857142857143,0.7248322147651006,0.8157894736842105,0.8030919804036986,0.48684625520038166,source_accuracy,source_calibration,0.975,160,40
