config,threshold_tiebreak,seed,variant,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate,threshold,threshold_selection_utility,n_fusion_train,n_calibration
score_fusion_all6_c003_source_acc,near_half,7,train,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.6999312632060772,1.0,160,40
score_fusion_all6_c003_source_acc,near_half,7,ishu_test,0.7543859649122807,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.7,0.875,0.7777777777777778,0.6140350877192983,0.6999312632060772,1.0,160,40
score_fusion_all6_c003_source_acc,near_half,17,train,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9603960396039604,0.97,0.9651741293532339,0.505,0.5,1.0,160,40
score_fusion_all6_c003_source_acc,near_half,17,ishu_test,0.6228070175438597,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.5714285714285714,0.9285714285714286,0.7074829931972789,0.7982456140350878,0.5,1.0,160,40
score_fusion_all6_c003_source_acc,near_half,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5641570110624826,0.975,160,40
score_fusion_all6_c003_source_acc,near_half,29,ishu_test,0.7105263157894737,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6419753086419753,0.9285714285714286,0.7591240875912408,0.7105263157894737,0.5641570110624826,0.975,160,40
score_fusion_all6_c003_source_acc,higher,7,train,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.7027746617327966,1.0,160,40
score_fusion_all6_c003_source_acc,higher,7,ishu_test,0.7456140350877193,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6956521739130435,0.8571428571428571,0.768,0.6052631578947368,0.7027746617327966,1.0,160,40
score_fusion_all6_c003_source_acc,higher,17,train,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9696969696969697,0.96,0.964824120603015,0.495,0.591473875401568,1.0,160,40
score_fusion_all6_c003_source_acc,higher,17,ishu_test,0.6578947368421053,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7280701754385965,0.591473875401568,1.0,160,40
score_fusion_all6_c003_source_acc,higher,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5897296362659037,0.975,160,40
score_fusion_all6_c003_source_acc,higher,29,ishu_test,0.7543859649122807,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6891891891891891,0.9107142857142857,0.7846153846153846,0.6491228070175439,0.5897296362659037,0.975,160,40
score_fusion_all6_c003_source_acc,lower,7,train,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.6999312632060772,1.0,160,40
score_fusion_all6_c003_source_acc,lower,7,ishu_test,0.7543859649122807,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.7,0.875,0.7777777777777778,0.6140350877192983,0.6999312632060772,1.0,160,40
score_fusion_all6_c003_source_acc,lower,17,train,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9603960396039604,0.97,0.9651741293532339,0.505,0.48637755257094734,1.0,160,40
score_fusion_all6_c003_source_acc,lower,17,ishu_test,0.631578947368421,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.5760869565217391,0.9464285714285714,0.7162162162162162,0.8070175438596491,0.48637755257094734,1.0,160,40
score_fusion_all6_c003_source_acc,lower,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5641570110624826,0.975,160,40
score_fusion_all6_c003_source_acc,lower,29,ishu_test,0.7105263157894737,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6419753086419753,0.9285714285714286,0.7591240875912408,0.7105263157894737,0.5641570110624826,0.975,160,40
