variant,score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
jpeg30,global,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.028017241379310498,0.7105263157894737,0.7446808510638298,0.625,0.6796116504854369,0.8374384236453202,0.23463491937048742,0.24163046967411972,0.41228070175438597
jpeg30,tile_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.024938423645320063,0.7017543859649122,0.75,0.5892857142857143,0.66,0.8380541871921182,0.227232113253309,0.23736159516058714,0.38596491228070173
jpeg30,tile_max,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.11730295566502469,0.7280701754385965,0.7551020408163265,0.6607142857142857,0.7047619047619048,0.8423645320197044,0.23829663745166388,0.25476685932154636,0.4298245614035088
jpeg30,tile_top2_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.0726600985221677,0.7192982456140351,0.75,0.6428571428571429,0.6923076923076923,0.8420566502463054,0.23586104312215875,0.2544552531534985,0.42105263157894735
jpeg30,global,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.022783251231527135,0.6842105263157895,0.75,0.5357142857142857,0.625,0.7666256157635467,0.2560891482711928,0.2305109560702447,0.3508771929824561
jpeg30,tile_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,0.021859605911330182,0.6929824561403509,0.7560975609756098,0.5535714285714286,0.6391752577319587,0.7798645320197044,0.24061025740244463,0.20463500828462083,0.35964912280701755
jpeg30,tile_max,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,0.024938423645320063,0.7017543859649122,0.75,0.5892857142857143,0.66,0.7995689655172413,0.2407979458785557,0.2267851366171203,0.38596491228070173
jpeg30,tile_top2_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,0.024938423645320063,0.7017543859649122,0.75,0.5892857142857143,0.66,0.7998768472906403,0.23959023751157588,0.22265931428132546,0.38596491228070173
jpeg30,global,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.4913793103448276,0.7280701754385965,0.9032258064516129,0.5,0.6436781609195402,0.8460591133004925,0.20877671687315652,0.1924595536644423,0.2719298245614035
jpeg30,tile_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.4913793103448276,0.7280701754385965,0.9032258064516129,0.5,0.6436781609195402,0.8457512315270936,0.20626651612337776,0.20451709389002745,0.2719298245614035
jpeg30,tile_max,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.536022167487685,0.7368421052631579,0.90625,0.5178571428571429,0.6590909090909091,0.8457512315270935,0.21066291545146332,0.21204388891234377,0.2807017543859649
jpeg30,tile_top2_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.4913793103448276,0.7280701754385965,0.9032258064516129,0.5,0.6436781609195402,0.8454433497536945,0.21028249413831387,0.2115127280490875,0.2719298245614035
