score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
global,cap_0p4,7,combined_v3,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8380541871921181,0.300166053208822,0.3324806549591068,0.5701754385964912
tile_mean,cap_0p4,7,combined_v3,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.088054187192118,0.7631578947368421,0.7301587301587301,0.8214285714285714,0.773109243697479,0.832820197044335,0.298204211744486,0.33105290102043106,0.5526315789473685
tile_max,cap_0p4,7,combined_v3,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.0911330049261086,0.7719298245614035,0.7272727272727273,0.8571428571428571,0.7868852459016393,0.8460591133004924,0.3058132983546678,0.3392625060042909,0.5789473684210527
tile_top2_mean,cap_0p4,7,combined_v3,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8457512315270935,0.304788363828578,0.3382657572241368,0.5701754385964912
global,cap_0p4,17,combined_v3,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7872536945812808,0.30347902781156033,0.29392343242986757,0.5175438596491229
tile_mean,cap_0p4,17,combined_v3,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.17672413793103425,0.7192982456140351,0.7,0.75,0.7241379310344828,0.7841748768472907,0.30246521641314195,0.29331529038604687,0.5263157894736842
tile_max,cap_0p4,17,combined_v3,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2182881773399013,0.7192982456140351,0.6935483870967742,0.7678571428571429,0.7288135593220338,0.7998768472906403,0.30679598056981455,0.30731764281372725,0.543859649122807
tile_top2_mean,cap_0p4,17,combined_v3,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2182881773399013,0.7192982456140351,0.6935483870967742,0.7678571428571429,0.7288135593220338,0.7980295566502463,0.30499386861565836,0.3040023453642884,0.543859649122807
global,cap_0p4,29,combined_v3,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.2515181881003793,0.28631061943270103,0.4649122807017544
tile_mean,cap_0p4,29,combined_v3,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.9054802955665023,0.8421052631578947,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8808497536945813,0.25561262890411246,0.29044073407905224,0.45614035087719296
tile_max,cap_0p4,29,combined_v3,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.694581280788177,0.8333333333333334,0.8135593220338984,0.8571428571428571,0.8347826086956521,0.895628078817734,0.28006741308477634,0.3098383911963536,0.5175438596491229
tile_top2_mean,cap_0p4,29,combined_v3,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.7361453201970443,0.8333333333333334,0.8245614035087719,0.8392857142857143,0.831858407079646,0.8971674876847291,0.2744031224294015,0.3040516230120015,0.5
