score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
global,cap_0p4,7,clip_vit_b_32,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8380541871921181,0.30032748893240074,0.3325274872823868,0.5701754385964912
tile_mean,cap_0p4,7,clip_vit_b_32,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04341133004926101,0.7543859649122807,0.7258064516129032,0.8035714285714286,0.7627118644067796,0.8408251231527093,0.25327623259270565,0.2839545884214191,0.543859649122807
tile_max,cap_0p4,7,clip_vit_b_32,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.13269704433497537,0.7719298245614035,0.734375,0.8392857142857143,0.7833333333333333,0.8352832512315271,0.3157412130302819,0.34973466232516864,0.5614035087719298
tile_top2_mean,cap_0p4,7,clip_vit_b_32,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.13269704433497537,0.7719298245614035,0.734375,0.8392857142857143,0.7833333333333333,0.8395935960591132,0.3031940804260602,0.3365417020238838,0.5614035087719298
global,cap_0p4,17,clip_vit_b_32,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7875615763546798,0.30351345301853033,0.2939649655496469,0.5175438596491229
tile_mean,cap_0p4,17,clip_vit_b_32,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.17980295566502463,0.7105263157894737,0.7017543859649122,0.7142857142857143,0.7079646017699115,0.7915640394088671,0.2833149690167503,0.2752868321691072,0.5
tile_max,cap_0p4,17,clip_vit_b_32,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7835591133004925,0.3224115550766978,0.3203410674840518,0.5175438596491229
tile_top2_mean,cap_0p4,17,clip_vit_b_32,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7900246305418718,0.3122785661396819,0.32301176976306545,0.5175438596491229
global,cap_0p4,29,clip_vit_b_32,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.2514438140426966,0.2862370108801634,0.4649122807017544
tile_mean,cap_0p4,29,clip_vit_b_32,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.7269088669950736,0.8070175438596491,0.8541666666666666,0.7321428571428571,0.7884615384615384,0.8996305418719213,0.19152961520826806,0.21315233078770982,0.42105263157894735
tile_max,cap_0p4,29,clip_vit_b_32,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.9027093596059113,0.26900499603665307,0.3121830453228754,0.4649122807017544
tile_top2_mean,cap_0p4,29,clip_vit_b_32,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.774630541871921,0.8245614035087719,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9104064039408867,0.24409549439957776,0.2867590071848345,0.45614035087719296
