score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
global,cap_0p4,7,convnext_tiny,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8380541871921181,0.3001660365151294,0.33248055754110406,0.5701754385964912
tile_mean,cap_0p4,7,convnext_tiny,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.001231527093596363,0.7456140350877193,0.7213114754098361,0.7857142857142857,0.7521367521367521,0.8599137931034484,0.29247636431389096,0.32711875366343635,0.5350877192982456
tile_max,cap_0p4,7,convnext_tiny,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.0911330049261086,0.7719298245614035,0.7272727272727273,0.8571428571428571,0.7868852459016393,0.8479064039408868,0.3180715119400217,0.34924993941579774,0.5789473684210527
tile_top2_mean,cap_0p4,7,convnext_tiny,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.0911330049261086,0.7719298245614035,0.7272727272727273,0.8571428571428571,0.7868852459016393,0.8497536945812808,0.31270698339781855,0.34466424738271817,0.5789473684210527
global,cap_0p4,17,convnext_tiny,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7872536945812808,0.3034792784419791,0.29392309628355073,0.5175438596491229
tile_mean,cap_0p4,17,convnext_tiny,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.17980295566502463,0.7105263157894737,0.7017543859649122,0.7142857142857143,0.7079646017699115,0.7964901477832512,0.2837103746484165,0.29842430422283717,0.5
tile_max,cap_0p4,17,convnext_tiny,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.1320812807881771,0.7280701754385965,0.7049180327868853,0.7678571428571429,0.7350427350427351,0.7980295566502463,0.30669462920054014,0.32317137681497765,0.5350877192982456
tile_top2_mean,cap_0p4,17,convnext_tiny,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.1320812807881771,0.7280701754385965,0.7049180327868853,0.7678571428571429,0.7350427350427351,0.8044950738916257,0.30026049900994567,0.31699249314548256,0.5350877192982456
global,cap_0p4,29,convnext_tiny,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.25151805592335436,0.28631049134184133,0.4649122807017544
tile_mean,cap_0p4,29,convnext_tiny,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8913177339901478,0.23818573094319667,0.2717992325539678,0.4649122807017544
tile_max,cap_0p4,29,convnext_tiny,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.3882389162561576,0.7894736842105263,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.8783866995073891,0.26388830747526565,0.30384786613811465,0.5087719298245614
tile_top2_mean,cap_0p4,29,convnext_tiny,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.3882389162561576,0.7894736842105263,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.8839285714285714,0.25998222185882885,0.3004097722085848,0.5087719298245614
