score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
global,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8380541871921181,0.300166043861811,0.33248064681655254,0.5701754385964912
tile_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.13269704433497537,0.7719298245614035,0.734375,0.8392857142857143,0.7833333333333333,0.8414408866995073,0.29900179689503337,0.33192339594359926,0.5614035087719298
tile_max,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04956896551724155,0.7719298245614035,0.7205882352941176,0.875,0.7903225806451613,0.8457512315270936,0.3142486831387521,0.34924267912713136,0.5964912280701754
tile_top2_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04956896551724155,0.7719298245614035,0.7205882352941176,0.875,0.7903225806451613,0.8472906403940886,0.31056757781471095,0.34555761681580854,0.5964912280701754
global,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7872536945812808,0.30347900425219704,0.29392341374888353,0.5175438596491229
tile_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7961822660098522,0.2913241490273156,0.3075982537482103,0.5175438596491229
tile_max,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.12900246305418717,0.7368421052631579,0.703125,0.8035714285714286,0.75,0.8149630541871921,0.3037626557330491,0.3221507765808601,0.5614035087719298
tile_top2_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.12900246305418717,0.7368421052631579,0.703125,0.8035714285714286,0.75,0.814347290640394,0.3010702353919126,0.3202101726829123,0.5614035087719298
global,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.2515181887689411,0.28631062033229343,0.4649122807017544
tile_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.24844124658621897,0.28211139497407833,0.4649122807017544
tile_max,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.7330665024630544,0.8245614035087719,0.8333333333333334,0.8035714285714286,0.8181818181818182,0.8848522167487683,0.25541546798982856,0.28286576865525825,0.47368421052631576
tile_top2_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.7330665024630544,0.8245614035087719,0.8333333333333334,0.8035714285714286,0.8181818181818182,0.8854679802955664,0.25468534099181134,0.27927295418165043,0.47368421052631576
