order,feature_name,family,description,status
1,recon_half_abs_mean,resize_residual,mean absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
2,recon_half_abs_p95,resize_residual,95th percentile absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
3,recon_half_luma_chroma_ratio,resize_residual,luma-to-chroma residual ratio for the resize residual branch.,inherited_from_reconstruction_lite
4,recon_half_laplacian_abs_mean,resize_residual,mean absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
5,recon_half_tile16_std_mean,resize_residual,mean 16x16 tile residual standard deviation for the resize residual branch.,inherited_from_reconstruction_lite
6,recon_half_tile16_std_p90,resize_residual,90th percentile 16x16 tile residual standard deviation for the resize residual branch.,inherited_from_reconstruction_lite
7,recon_quarter_abs_mean,resize_residual,mean absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
8,recon_quarter_abs_p95,resize_residual,95th percentile absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
9,recon_quarter_luma_chroma_ratio,resize_residual,luma-to-chroma residual ratio for the resize residual branch.,inherited_from_reconstruction_lite
10,recon_quarter_laplacian_abs_mean,resize_residual,mean absolute RGB residual for the resize residual branch.,inherited_from_reconstruction_lite
11,recon_half_quarter_abs_mean_delta,resize_residual,cross-reconstruction delta for the resize residual branch.,inherited_from_reconstruction_lite
12,recon_half_quarter_abs_p95_delta,resize_residual,cross-reconstruction delta for the resize residual branch.,inherited_from_reconstruction_lite
13,recon_half_quarter_luma_chroma_ratio_delta,resize_residual,cross-reconstruction delta for the resize residual branch.,inherited_from_reconstruction_lite
14,recon_half_quarter_laplacian_delta,resize_residual,cross-reconstruction delta for the resize residual branch.,inherited_from_reconstruction_lite
15,recon_fft20_abs_mean,fft_lowpass_residual,mean absolute RGB residual for the fft lowpass residual branch.,implemented_reconstruction_v2_ablation
16,recon_fft20_abs_p95,fft_lowpass_residual,95th percentile absolute RGB residual for the fft lowpass residual branch.,implemented_reconstruction_v2_ablation
