setting,candidate,baseline,metric,candidate_mean,baseline_mean,delta_mean
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,accuracy,0.7125,0.6875,0.025000000000000022
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,roc_auc,0.755,0.7335416666666666,0.021458333333333357
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,brier_score,0.19623057145414113,0.2103910589044559,-0.014160487450314757
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,expected_calibration_error,0.11935263378947376,0.1053148428744559,0.014037790915017861
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,precision,0.6745997712978844,0.6735107200223479,0.00108905127553649
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,recall,0.8166666666666668,0.7333333333333334,0.08333333333333337
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,f1,0.7377693990597217,0.6990920725860486,0.03867732647367317
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,maximum_calibration_error,0.29571441650273117,0.29300906012455624,0.002705356378174928
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,fake_call_rate,0.6041666666666666,0.5458333333333333,0.05833333333333335
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,real_false_positive_rate,0.39166666666666666,0.35833333333333334,0.033333333333333326
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,fake_miss_rate,0.18333333333333335,0.26666666666666666,-0.08333333333333331
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,accuracy,0.7125,0.75,-0.03749999999999998
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,roc_auc,0.755,0.8116666666666666,-0.05666666666666664
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,brier_score,0.19623057145414113,0.1832939289841257,0.012936642470015441
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,expected_calibration_error,0.11935263378947376,0.1401859789328538,-0.020833345143380047
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,precision,0.6745997712978844,0.7278358497870693,-0.05323607848918488
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,recall,0.8166666666666668,0.7999999999999999,0.01666666666666683
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,f1,0.7377693990597217,0.7610180138422274,-0.023248614782505728
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,maximum_calibration_error,0.29571441650273117,0.5089892695347468,-0.2132748530320156
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,fake_call_rate,0.6041666666666666,0.55,0.054166666666666585
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,real_false_positive_rate,0.39166666666666666,0.3,0.09166666666666667
ishu_same_bounded,reconstruction_v2_logreg,combined_v3_logreg,fake_miss_rate,0.18333333333333335,0.20000000000000004,-0.01666666666666669
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,accuracy,0.572,0.5949999999999999,-0.02299999999999991
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,roc_auc,0.5953586666666667,0.6361519999999999,-0.04079333333333324
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,brier_score,0.2602180696718101,0.23773374344567433,0.022484326226135776
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,expected_calibration_error,0.10438060245809001,0.04304971908557779,0.061330883372512225
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,precision,0.5729879291617664,0.6026612405007926,-0.029673311339026176
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,recall,0.5673333333333334,0.5566666666666666,0.010666666666666713
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,f1,0.5688779733677464,0.5779194535701356,-0.009041480202389263
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,maximum_calibration_error,0.4131681639137657,0.47315161655229127,-0.05998345263852556
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,fake_call_rate,0.4953333333333334,0.46166666666666667,0.033666666666666734
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,real_false_positive_rate,0.42333333333333334,0.3666666666666667,0.05666666666666664
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_lite_logreg,fake_miss_rate,0.4326666666666667,0.44333333333333336,-0.010666666666666658
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,accuracy,0.572,0.547,0.02499999999999991
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,roc_auc,0.5953586666666667,0.5833646666666666,0.01199400000000006
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,brier_score,0.2602180696718101,0.3338714982785338,-0.07365342860672369
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,expected_calibration_error,0.10438060245809001,0.27512078465202555,-0.17074018219393555
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,precision,0.5729879291617664,0.6009535672683678,-0.027965638106601354
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,recall,0.5673333333333334,0.272,0.29533333333333334
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,f1,0.5688779733677464,0.3740208763314024,0.19485709703634396
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,maximum_calibration_error,0.4131681639137657,0.4037187812914307,0.009449382622335023
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,fake_call_rate,0.4953333333333334,0.225,0.2703333333333334
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,real_false_positive_rate,0.42333333333333334,0.17800000000000002,0.24533333333333332
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,combined_v3_logreg,fake_miss_rate,0.4326666666666667,0.7280000000000001,-0.2953333333333334
