group,method,predictions_path,n_samples,positive_rate,predicted_positive_rate,score_mean,score_std,score_min,score_max,accuracy,precision,recall,f1,roc_auc,brier_score,expected_calibration_error,maximum_calibration_error
seed17,all_foundation_source_calibrated,runs\score_fusion_foundation_source_calibrated\ishu_seed17_to_ms_cocoai_all6\ms_cocoai\predictions.csv,1000,0.5,0.149,0.19347440655908174,0.2825132910128529,0.0117291928439667,0.9907009314518158,0.613,0.8791946308724832,0.262,0.4036979969183359,0.786232,0.30500114374021636,0.3065255934409183,0.5480789470724594
seed29,all_foundation_source_calibrated,runs\score_fusion_foundation_source_calibrated\ishu_seed29_to_ms_cocoai_all6\ms_cocoai\predictions.csv,1000,0.5,0.145,0.18384282309008368,0.26902275936577136,0.0113010507082436,0.9864390079297112,0.625,0.9310344827586207,0.27,0.4186046511627907,0.798416,0.3025145949140272,0.31615717690991635,0.47213546724329436
seed7,all_foundation_source_calibrated,runs\score_fusion_foundation_source_calibrated\ishu_seed7_to_ms_cocoai_all6\ms_cocoai\predictions.csv,1000,0.5,0.156,0.19592929502583653,0.2876012125421369,0.0078241600624556,0.986839425934633,0.642,0.9551282051282052,0.298,0.45426829268292684,0.807636,0.28789151946596586,0.30407070497416344,0.5879240981411052
seed17,clip_source_calibrated,runs\score_fusion_clip_source_calibrated\ishu_seed17_to_ms_cocoai_all5\ms_cocoai\predictions.csv,1000,0.5,0.153,0.18375550559738343,0.28507561838310574,0.0099469231993778,0.99459576531189,0.621,0.8954248366013072,0.274,0.41960183767228176,0.76832,0.314531232637173,0.3162444944026166,0.5587311426615336
seed29,clip_source_calibrated,runs\score_fusion_clip_source_calibrated\ishu_seed29_to_ms_cocoai_all5\ms_cocoai\predictions.csv,1000,0.5,0.143,0.18131208202713947,0.27181899773110907,0.0122690667228234,0.9851078714578616,0.619,0.916083916083916,0.262,0.40746500777604977,0.784176,0.3085313719346174,0.31868791797286045,0.5143242889291759
seed7,clip_source_calibrated,runs\score_fusion_clip_source_calibrated\ishu_seed7_to_ms_cocoai_all5\ms_cocoai\predictions.csv,1000,0.5,0.16,0.2005862959178312,0.2894135589209034,0.0068536104049204,0.9849982843804268,0.646,0.95625,0.306,0.4636363636363636,0.79916,0.28463748679677625,0.29941370408216883,0.5509582863656091
seed17,clip_standalone,runs\ishu_to_ms_cocoai_source_balanced_seed17\clip_vit_b_32_frozen\predictions.csv,1000,0.5,0.158,0.1678941977740725,0.3102679232562896,1.689872547450122e-10,0.999580442905426,0.626,0.8987341772151899,0.284,0.4316109422492401,0.8533320000000001,0.326895443938793,0.34290505282864964,0.7159356286918576
seed29,clip_standalone,runs\ishu_to_ms_cocoai_source_balanced_seed29\clip_vit_b_32_frozen\predictions.csv,1000,0.5,0.162,0.16941917021440198,0.3151039299922615,2.2025931079028283e-10,0.9997774958610536,0.64,0.9320987654320988,0.302,0.4561933534743202,0.8566800000000001,0.3192897588306159,0.33445781318975754,0.8240329711697996
seed7,clip_standalone,runs\ishu_to_ms_cocoai_source_balanced_seed7\clip_vit_b_32_frozen\predictions.csv,1000,0.5,0.169,0.1840259674803343,0.31623804559147906,1.7721479839138963e-09,0.9999270439147948,0.643,0.9230769230769231,0.312,0.4663677130044843,0.882344,0.29749199526114084,0.3204588510974321,0.6155294555993307
seed17,dinov2_source_calibrated,runs\score_fusion_dinov2_source_calibrated\ishu_seed17_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.166,0.20100979059176974,0.282766210832695,0.010409207332498,0.9946110713254398,0.608,0.8253012048192772,0.274,0.4114114114114114,0.7523879999999998,0.31480375796375587,0.31234665758240043,0.49664983804574125
