seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,clip_vit_b_32,True,logistic_regression,224,512,114,6.824561403508772,0.6140350877192983,0.8571428571428572,0.3356667163198448,0.3673733277859068,0.56,1.0,0.717948717948718,0.8771929824561403
7,tile_mean,clip_vit_b_32,True,logistic_regression,224,512,114,6.824561403508772,0.6754385964912281,0.8374384236453203,0.2752140330751681,0.30911960983268894,0.6021505376344086,1.0,0.7516778523489933,0.8157894736842105
7,tile_max,clip_vit_b_32,True,logistic_regression,224,512,114,6.824561403508772,0.6140350877192983,0.9125615763546797,0.35974056085371087,0.391781337951359,0.56,1.0,0.717948717948718,0.8771929824561403
7,tile_top2_mean,clip_vit_b_32,True,logistic_regression,224,512,114,6.824561403508772,0.631578947368421,0.9184113300492611,0.33746612604161197,0.3749038011097071,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176
17,global,clip_vit_b_32,True,logistic_regression,224,512,114,6.631578947368421,0.6140350877192983,0.8058805418719212,0.3405721734863571,0.36446275668864114,0.56,1.0,0.717948717948718,0.8771929824561403
17,tile_mean,clip_vit_b_32,True,logistic_regression,224,512,114,6.631578947368421,0.6403508771929824,0.7586206896551724,0.2882178953180405,0.3092737502867243,0.5789473684210527,0.9821428571428571,0.7284768211920529,0.8333333333333334
17,tile_max,clip_vit_b_32,True,logistic_regression,224,512,114,6.631578947368421,0.5789473684210527,0.8577586206896551,0.3694107544593221,0.4020097608955806,0.5384615384615384,1.0,0.7,0.9122807017543859
17,tile_top2_mean,clip_vit_b_32,True,logistic_regression,224,512,114,6.631578947368421,0.5877192982456141,0.8811576354679803,0.35007219878474327,0.3873796724926746,0.5436893203883495,1.0,0.7044025157232704,0.9035087719298246
29,global,clip_vit_b_32,True,logistic_regression,224,512,114,7.175438596491228,0.6403508771929824,0.8100369458128078,0.3189100274688096,0.33797105500937163,0.5789473684210527,0.9821428571428571,0.7284768211920529,0.8333333333333334
29,tile_mean,clip_vit_b_32,True,logistic_regression,224,512,114,7.175438596491228,0.7192982456140351,0.812807881773399,0.22781834460441752,0.24938741848726628,0.6395348837209303,0.9821428571428571,0.7746478873239436,0.7543859649122807
29,tile_max,clip_vit_b_32,True,logistic_regression,224,512,114,7.175438596491228,0.5964912280701754,0.8565270935960592,0.3513365281072269,0.3880533135369453,0.5490196078431373,1.0,0.7088607594936709,0.8947368421052632
29,tile_top2_mean,clip_vit_b_32,True,logistic_regression,224,512,114,7.175438596491228,0.631578947368421,0.8808497536945812,0.31096742332672006,0.35722766851489596,0.5714285714285714,1.0,0.7272727272727273,0.8596491228070176
