seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6491228070175439,0.6924261083743842,0.31707686936218915,0.3302774616625851,0.6025641025641025,0.8392857142857143,0.7014925373134329,0.6842105263157895
7,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6754385964912281,0.7149014778325123,0.26589556400977377,0.2170540173807607,0.6233766233766234,0.8571428571428571,0.7218045112781954,0.6754385964912281
7,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6228070175438597,0.7555418719211823,0.33917903899198715,0.3551338463507828,0.5698924731182796,0.9464285714285714,0.7114093959731543,0.8157894736842105
7,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6578947368421053,0.7643165024630542,0.3171244292820962,0.3379832303975421,0.5955056179775281,0.9464285714285714,0.7310344827586207,0.7807017543859649
17,global,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.6610221674876847,0.3616387383943275,0.3776672134498592,0.5679012345679012,0.8214285714285714,0.6715328467153284,0.7105263157894737
17,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6403508771929824,0.6705665024630542,0.31390895211662273,0.29806283049228227,0.5925925925925926,0.8571428571428571,0.7007299270072993,0.7105263157894737
17,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6140350877192983,0.7289100985221675,0.35591553006724097,0.3624547907675568,0.5638297872340425,0.9464285714285714,0.7066666666666667,0.8245614035087719
17,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.631578947368421,0.7393780788177339,0.34493210088353277,0.34860858708410164,0.5760869565217391,0.9464285714285714,0.7162162162162162,0.8070175438596491
29,global,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5964912280701754,0.6382389162561576,0.36631612921916096,0.36579550381062936,0.5675675675675675,0.75,0.6461538461538462,0.6491228070175439
29,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.6491228070175439,0.6564039408866994,0.306952198862442,0.27354049014891424,0.6052631578947368,0.8214285714285714,0.696969696969697,0.6666666666666666
29,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5526315789473685,0.729679802955665,0.40030987844714677,0.4100663067425665,0.5252525252525253,0.9285714285714286,0.6709677419354839,0.868421052631579
29,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5789473684210527,0.7333743842364533,0.3831562958028403,0.39275865782099106,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.8421052631578947
