seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6491228070175439,0.6905788177339901,0.3193360935814764,0.3220737562104431,0.6025641025641025,0.8392857142857143,0.7014925373134329,0.6842105263157895
7,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6842105263157895,0.7150554187192119,0.26826960091232843,0.22381465636389183,0.631578947368421,0.8571428571428571,0.7272727272727273,0.6666666666666666
7,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6403508771929824,0.7587746305418718,0.3334399077744921,0.34599160466725576,0.5824175824175825,0.9464285714285714,0.7210884353741497,0.7982456140350878
7,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6578947368421053,0.77185960591133,0.3175600817617849,0.3296432913555711,0.5955056179775281,0.9464285714285714,0.7310344827586207,0.7807017543859649
17,global,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.6639470443349753,0.35940925460753426,0.37098126095145195,0.5679012345679012,0.8214285714285714,0.6715328467153284,0.7105263157894737
17,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6403508771929824,0.6764162561576355,0.30885393840195685,0.28002413737492143,0.5925925925925926,0.8571428571428571,0.7007299270072993,0.7105263157894737
17,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6140350877192983,0.7267549261083744,0.3510188151865412,0.36017704963690417,0.5638297872340425,0.9464285714285714,0.7066666666666667,0.8245614035087719
17,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6403508771929824,0.739685960591133,0.3414230186727812,0.3616503602169617,0.5824175824175825,0.9464285714285714,0.7210884353741497,0.7982456140350878
29,global,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5964912280701754,0.6370073891625616,0.3661209815685047,0.3658430645774615,0.5694444444444444,0.7321428571428571,0.640625,0.631578947368421
29,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.6403508771929824,0.666256157635468,0.3028371971108523,0.2672209847112425,0.6,0.8035714285714286,0.6870229007633588,0.6578947368421053
29,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5614035087719298,0.7389162561576355,0.39881661450099254,0.403425428269084,0.5306122448979592,0.9285714285714286,0.6753246753246753,0.8596491228070176
29,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5701754385964912,0.7406096059113301,0.3793311848260411,0.3866199732389316,0.5360824742268041,0.9285714285714286,0.6797385620915033,0.8508771929824561
