encoder,score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std,source_report,global_accuracy_mean,global_roc_auc_mean,global_brier_score_mean,global_expected_calibration_error_mean,global_predicted_fake_rate_mean,accuracy_mean_delta_vs_global,roc_auc_mean_delta_vs_global,brier_score_mean_delta_vs_global,expected_calibration_error_mean_delta_vs_global,predicted_fake_rate_mean_delta_vs_global
CLIP ViT-B/32,global,3,342,6.87719298245614,0.6228070175438597,0.015193428136569,0.8243534482758621,0.0284724063580019,0.3317163057583371,0.011358540849279,0.3566023798279731,0.0162006961085083,0.5663157894736842,0.0109392682583297,0.9940476190476192,0.010309826235529,0.7214580856964963,0.0060784032415956,0.8625730994152047,0.0253223802276151,reports/tiled_clip_reverse_transfer_2026_06_14.md,0.6228070175438597,0.8243534482758621,0.3317163057583371,0.3566023798279731,0.8625730994152047,0.0,0.0,0.0,0.0,0.0
CLIP ViT-B/32,tile_mean,3,342,6.87719298245614,0.6783625730994153,0.0395548223931832,0.8029556650246304,0.0403219348368101,0.2637500909992087,0.0317898239621202,0.2892602595355598,0.0345309792761044,0.6068775965921305,0.0305691113273768,0.988095238095238,0.010309826235529,0.7516008536216633,0.0230856293728774,0.8011695906432749,0.0414545230373035,reports/tiled_clip_reverse_transfer_2026_06_14.md,0.6228070175438597,0.8243534482758621,0.3317163057583371,0.3566023798279731,0.8625730994152047,0.05555555555555558,-0.02139778325123165,-0.0679662147591284,-0.06734212029241332,-0.06140350877192979
CLIP ViT-B/32,tile_max,3,342,6.87719298245614,0.5964912280701755,0.0175438596491228,0.875615763546798,0.0320019370940548,0.3601626144734199,0.009044501727576,0.393948137461295,0.0072261241897564,0.5491603821015586,0.0107699208170173,1.0,0.0,0.7089364924807962,0.0089745986325106,0.8947368421052632,0.0175438596491228,reports/tiled_clip_reverse_transfer_2026_06_14.md,0.6228070175438597,0.8243534482758621,0.3317163057583371,0.3566023798279731,0.8625730994152047,-0.02631578947368418,0.05126231527093594,0.028446308715082802,0.037345757633321874,0.032163742690058506
CLIP ViT-B/32,tile_top2_mean,3,342,6.87719298245614,0.6169590643274854,0.0253223802276151,0.893472906403941,0.0215978570286891,0.3328352493843584,0.0199594496383699,0.3731703807057592,0.0151505576033231,0.5621821544151641,0.0160152640551907,1.0,0.0,0.7196493234229084,0.0132041227945026,0.8742690058479532,0.0253223802276151,reports/tiled_clip_reverse_transfer_2026_06_14.md,0.6228070175438597,0.8243534482758621,0.3317163057583371,0.3566023798279731,0.8625730994152047,-0.005847953216374324,0.06911945812807885,0.0011189436260212737,0.016568000877786093,0.011695906432748537
DINOv2-small,global,3,342,6.87719298245614,0.6169590643274854,0.0506447604552302,0.6669232348111658,0.0312171217597253,0.3471518885861198,0.035585915691994,0.3498670456477655,0.0278268100187283,0.5791978302821676,0.038369069247602,0.8095238095238094,0.054554472558998,0.6749654629737064,0.0418571257058998,0.6871345029239766,0.0365204561309847,reports/tiled_dinov2_reverse_transfer_2026_06_14.md,0.6169590643274854,0.6669232348111658,0.3471518885861198,0.3498670456477655,0.6871345029239766,0.0,0.0,0.0,0.0,0.0
DINOv2-small,tile_mean,3,342,6.87719298245614,0.6549707602339182,0.0441510785688347,0.6818041871921183,0.0378810332143731,0.2939262357963582,0.0333475442204909,0.2621356402563479,0.0502949746650933,0.608446792657319,0.0387083547725141,0.8452380952380952,0.020619652471058,0.7070485070485071,0.0277804783534982,0.6842105263157894,0.0464166896677998,reports/tiled_dinov2_reverse_transfer_2026_06_14.md,0.6169590643274854,0.6669232348111658,0.3471518885861198,0.3498670456477655,0.6871345029239766,0.03801169590643283,0.01488095238095255,-0.0532256527897616,-0.0877314053914176,-0.0029239766081872176
DINOv2-small,tile_max,3,342,6.87719298245614,0.6052631578947368,0.043859649122807,0.744663382594417,0.0191483735138827,0.3644592559186205,0.0394546941857381,0.3800493209301021,0.0393994141133285,0.5591319568763179,0.0291580150862705,0.9404761904761904,0.0103098262355289,0.701112942517279,0.0253626529382767,0.827485380116959,0.0354513323186612,reports/tiled_dinov2_reverse_transfer_2026_06_14.md,0.6169590643274854,0.6669232348111658,0.3471518885861198,0.3498670456477655,0.6871345029239766,-0.011695906432748537,0.07774014778325122,0.01730736733250071,0.03018227528233658,0.14035087719298245
DINOv2-small,tile_top2_mean,3,342,6.87719298245614,0.6169590643274854,0.0535973765491911,0.7557984400656815,0.0166058863201544,0.3497237274240771,0.0417673375489823,0.3580849318076258,0.0411211853722846,0.56772420445592,0.0375345026341809,0.9404761904761904,0.0103098262355289,0.7076613527723774,0.0311501830874686,0.8157894736842106,0.0464166896677998,reports/tiled_dinov2_reverse_transfer_2026_06_14.md,0.6169590643274854,0.6669232348111658,0.3471518885861198,0.3498670456477655,0.6871345029239766,0.0,0.08887520525451575,0.0025718388379573076,0.0082178861598603,0.12865497076023402
ConvNeXt-Tiny,global,3,342,6.87719298245614,0.6578947368421052,0.0455802844097073,0.8081383415435139,0.0377121659983583,0.2860240103991915,0.0350155619175531,0.2950227285821805,0.0422413354732449,0.6030521922583012,0.0372607454680251,0.8988095238095237,0.054554472558998,0.7209827474533356,0.0324531433043578,0.7339181286549707,0.0634577029655283,reports/tiled_convnext_reverse_transfer_2026_06_14.md,0.6578947368421052,0.8081383415435139,0.2860240103991915,0.2950227285821805,0.7339181286549707,0.0,0.0,0.0,0.0,0.0
ConvNeXt-Tiny,tile_mean,3,342,6.87719298245614,0.7309941520467836,0.0281978092426694,0.8198891625615764,0.0618865340357253,0.2099326391139373,0.0344819189642414,0.2134658050388084,0.0392880748568387,0.6603335278688965,0.0241770147748057,0.9345238095238096,0.0515491311776451,0.7732678668848881,0.0239296063479542,0.6959064327485381,0.0483120223446149,reports/tiled_convnext_reverse_transfer_2026_06_14.md,0.6578947368421052,0.8081383415435139,0.2860240103991915,0.2950227285821805,0.7339181286549707,0.07309941520467844,0.011750821018062463,-0.0760913712852542,-0.08155692354337207,-0.03801169590643261
ConvNeXt-Tiny,tile_max,3,342,6.87719298245614,0.6286549707602339,0.0182602280654923,0.8601703612479475,0.0314974992029067,0.3182524175124399,0.015045510638361,0.3476190992584433,0.0175375373634312,0.5715873015873015,0.0116674764863092,0.9761904761904764,0.0412393049421161,0.7207579388030516,0.0148797902095603,0.8391812865497076,0.0395548223931832,reports/tiled_convnext_reverse_transfer_2026_06_14.md,0.6578947368421052,0.8081383415435139,0.2860240103991915,0.2950227285821805,0.7339181286549707,-0.029239766081871288,0.05203201970443361,0.03222840711324837,0.05259637067626283,0.10526315789473684
ConvNeXt-Tiny,tile_top2_mean,3,342,6.87719298245614,0.6637426900584796,0.0182602280654923,0.8761802134646963,0.0415755358728097,0.2935201962069207,0.0158977546196703,0.3268285741412,0.0145963051200842,0.5965767116441779,0.0127184934047038,0.9761904761904764,0.0412393049421161,0.7402905297642141,0.0150414667605387,0.8040935672514619,0.0395548223931832,reports/tiled_convnext_reverse_transfer_2026_06_14.md,0.6578947368421052,0.8081383415435139,0.2860240103991915,0.2950227285821805,0.7339181286549707,0.005847953216374435,0.06804187192118238,0.007496185807729205,0.0318058455590195,0.07017543859649111
